name	target_name	reverse_score	score	presence_ratio	matched_peaks_count
beta-Hexachlorocyclohexane	0	0	0	0	0
epsilon-Hexachlorocyclohexane	0	0	0	0	0
Lindane	0	0	0	0	0
delta-Hexachlorocyclohexane	0	0	0	0	0
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	0	0	0	0	0
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	0	0	0	0	0
1,2-Benzanthraquinone	0	0	0	0	0
Ethiprole	0	0	0	0	0
Tebuthiuron	0	0	0	0	0
Pyraclostrobin	0	0	0	0	0
Octrizole	0	0	0	0	0
Carfentrazone-ethyl	0	0	0	0	0
Bumetrizole	0	0	0	0	0
Sulfentrazone	0	0	0	0	0
2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol	0	0	0	0	0
Cyazofamid	0	0	0	0	0
Fipronil	0	0	0	0	0
4,4'-Dichlorodiphenyldichloroethane	0	0	0	0	0
2,2',3,5'-Tetrachlorobiphenyl	0	0	0	0	0
2,2',3,4',5,5'-Hexachloro-4-methoxybiphenyl	0	0	0	0	0
Carbetamide	0	0	0	0	0
2,3,3',4',6-Pentachlorobiphenyl	0	0	0	0	0
Mepronil	0	0	0	0	0
2,3,3',4,5-Pentachlorobiphenyl	0	0	0	0	0
Difenoconazole	0	0	0	0	0
Benzoximate	0	0	0	0	0
2,4,4'-Trichlorobiphenyl	0	0	0	0	0
Pendimethalin	0	0	0	0	0
Furalaxyl	0	0	0	0	0
Mepanipyrim	0	0	0	0	0
2,3',4,6-Tetrachlorobiphenyl	0	0	0	0	0
Spirotetramat	0	0	0	0	0
2,4'-Dichlorodiphenyltrichloroethane	0	0	0	0	0
2,2',5-Trichlorobiphenyl	0	0	0	0	0
Transfluthrin	0	0	0	0	0
Fenobucarb	0	0	0	0	0
Promecarb	0	0	0	0	0
Spirodiclofen	0	0	0	0	0
Pyridaben	0	0	0	0	0
2,3,4,5,6-Pentabromoethylbenzene	0	0	0	0	0
Flusilazole	0	0	0	0	0
Carboxin	0	0	0	0	0
2,3,3',4',5',6-Hexachlorobiphenyl	0	0	0	0	0
2,2',5,5'-Tetrachlorobiphenyl	0	0	0	0	0
2,3',5',6-Tetrachlorobiphenyl	0	0	0	0	0
Ethiofencarb	0	0	0	0	0
2,2',3,3',4,5',6,6'-Octachlorobiphenyl	0	0	0	0	0
Bromuconazole	0	0	0	0	0
Fenoxycarb	0	0	0	0	0
Triflumizole	0	0	0	0	0
2-Ethylhexyl 2,3,4,5-Tetrabromobenzoate	0	0	0	0	0
Myclobutanil	0	0	0	0	0
Methoxychlor	0	0	0	0	0
Flufenacet	0	0	0	0	0
Picoxystrobin	0	0	0	0	0
2,4,6-Trichlorobiphenyl	0	0	0	0	0
Bisphenol A	0	0	0	0	0
2,2',3,4,4',5',6-Heptabromodiphenyl ether	0	0	0	0	0
Aminocarb	0	0	0	0	0
4-tert-Octylphenol	0	0	0	0	0
Etoxazole	0	0	0	0	0
Butafenacil	0	0	0	0	0
2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl	0	0	0	0	0
2,3,3',4,5,6-Hexachlorobiphenyl	0	0	0	0	0
2,4'-Dichlorodiphenyldichloroethane	0	0	0	0	0
Flutriafol	0	0	0	0	0
Siduron	0	0	0	0	0
2,3,4,5,6-Pentabromobenzyl alcohol	0	0	0	0	0
2,2',3,4',5,5',6-Heptachloro-4-methoxybiphenyl	0	0	0	0	0
2,2',3,4,4',5',6-Heptachlorobiphenyl	0	0	0	0	0
2,2',4,5,5'-Pentachlorobiphenyl	0	0	0	0	0
2-Chlorobiphenyl	0	0	0	0	0
Monolinuron	0	0	0	0	0
Diethofencarb	0	0	0	0	0
Tetraconazole	0	0	0	0	0
4-Methoxybenzyl alcohol	0	0	0	0	0
2,2',4,4',5,5'-Hexachlorobiphenyl	0	0	0	0	0
3,3',4,5,5'-Pentachlorobiphenyl	0	0	0	0	0
Pyriproxyfen	0	0	0	0	0
Fenarimol	0	0	0	0	0
Butylated hydroxytoluene	0	0	0	0	0
Iprovalicarb	0	0	0	0	0
Bifenthrin	0	0	0	0	0
Trifloxystrobin	0	0	0	0	0
2,2',3,4,5'-Pentachlorobiphenyl	0	0	0	0	0
2,3,4,5,6-Pentabromotoluene	0	0	0	0	0
2,3',4,4',5',6-Hexachlorobiphenyl	0	0	0	0	0
Triticonazole	0	0	0	0	0
Fenoxaprop-ethyl	0	0	0	0	0
Flutolanil	0	0	0	0	0
Tebuconazole	0	0	0	0	0
2,2',3,4,5,5',6-Heptachlorobiphenyl	0	0	0	0	0
Enilconazole	0	0	0	0	0
Isoprocarb	0	0	0	0	0
Thiobencarb	0	0	0	0	0
Dimethomorph	0	0	0	0	0
Diflubenzuron	0	0	0	0	0
Amitraz	0	0	0	0	0
2,3',4,4'-Tetrachlorobiphenyl	0	0	0	0	0
Paclobutrazol	0	0	0	0	0
2,2',3,3',4,4',5-Heptachlorobiphenyl	0	0	0	0	0
2,2',3,4,4',5'-Hexachlorobiphenyl	0	0	0	0	0
Benzophenone	0	0	0	0	0
2,3,5,6-Tetrabromo-p-xylene	0	0	0	0	0
Fenpropimorph	0	0	0	0	0
Nuarimol	0	0	0	0	0
Dimethachlor	0	0	0	0	0
Dioxacarb	0	0	0	0	0
Lilial	0	0	0	0	0
Benzyl benzoate	0	0	0	0	0
Zoxamide	0	0	0	0	0
2,3,3',4',5,5',6-Heptachlorobiphenyl	0	0	0	0	0
Metazachlor	0	0	0	0	0
Propiconazole	0	0	0	0	0
Hexaconazole	0	0	0	0	0
2,2',3,4',5-Pentachlorobiphenyl	0	0	0	0	0
2,3',4,4',5-Pentachlorobiphenyl	0	0	0	0	0
2,2',3',4,4',5-Hexachloro-3-methoxybiphenyl	0	0	0	0	0
2,2',3,4,5,5'-Hexachlorobiphenyl	0	0	0	0	0
4,4'-Dichlorodiphenyldichloroethylene	0	0	0	0	0
2,2',3,4',5,5',6-Heptachlorobiphenyl	0	0	0	0	0
Cyproconazole	0	0	0	0	0
2,2',3,5,5',6-Hexachlorobiphenyl	0	0	0	0	0
Dicofol	0	0	0	0	0
2,4-D butyl ester	0	0	0	0	0
Diclobutrazol	0	0	0	0	0
Oxadixyl	0	0	0	0	0
2,4',5-Trichlorobiphenyl	0	0	0	0	0
Indoxacarb	0	0	0	0	0
Fenhexamid	0	0	0	0	0
Bitertanol	0	0	0	0	0
Bifenazate	0	0	0	0	0
Propham	0	0	0	0	0
2,2',3,4,4',5,5'-Heptachlorobiphenyl	0	0	0	0	0
Azoxystrobin	0	0	0	0	0
Penconazole	0	0	0	0	0
Metobromuron	0	0	0	0	0
2,3,4,5-Tetrabromo-6-chlorotoluene	0	0	0	0	0
Benzyl alcohol	0	0	0	0	0
Metolachlor	0	0	0	0	0
4-Methylbenzophenone	0	0	0	0	0
Boscalid	0	0	0	0	0
Alachlor	0	0	0	0	0
Triclosan	0	0	0	0	0
para-Terphenyl	0	0	0	0	0
Linuron	0	0	0	0	0
2,3-Dichlorobiphenyl	0	0	0	0	0
Fenpropathrin	0	0	0	0	0
Methiocarb	0	0	0	0	0
Isocarbophos	0	0	0	0	0
Mexacarbate	0	0	0	0	0
Pyracarbolid	0	0	0	0	0
4,4'-Dichlorodiphenyltrichloroethane	0	0	0	0	0
2,3,3',4',5,6-Hexachlorobiphenyl	0	0	0	0	0
Benzyl salicylate	0	0	0	0	0
2,4'-Dichlorodiphenyldichloroethylene	0	0	0	0	0
Tefluthrin	0	0	0	0	0
Pyrimethanil	0	0	0	0	0
Trifluralin	0	0	0	0	0
Methyleugenol	0	0	0	0	0
Propargite	0	0	0	0	0
Tebufenpyrad	0	0	0	0	0
Piperonyl butoxide	0	0	0	0	0
Fludioxonil	0	0	0	0	0
Bendiocarb	0	0	0	0	0
Safrole	0	0	0	0	0
1,2,7,9-Tetrachlorodibenzofuran	0	0	0	0	0
Octachlorodibenzofuran	0	0	0	0	0
Galaxolide	0	0	0	0	0
Acibenzolar-S-methyl	0	0	0	0	0
Methabenzthiazuron	0	0	0	0	0
Mefenacet	0	0	0	0	0
Tricyclazole	0	0	0	0	0
Thiofanox	0	0	0	0	0
Benalaxyl	0	0	0	0	0
Vamidothion	0	0	0	0	0
Fenamidone	0	0	0	0	0
Metalaxyl	0	0	0	0	0
alpha-Hexylcinnamaldehyde	0	0	0	0	0
alpha-Amylcinnamaldehyde	0	0	0	0	0
Benzyl cinnamate	0	0	0	0	0
Diniconazole	0	0	0	0	0
alpha-Amylcinnamyl alcohol	0	0	0	0	0
Cinnamyl alcohol	0	0	0	0	0
Carbofuran	0	0	0	0	0
Furathiocarb	0	0	0	0	0
Ethofumesate	0	0	0	0	0
Carbofuran phenol	0	0	0	0	0
Chlorferone	0	0	0	0	0
Fenazaquin	0	0	0	0	0
Fluquinconazole	0	0	0	0	0
Bupirimate	0	0	0	0	0
trans-Cyphenothrin	0	0	0	0	0
cis-Cyphenothrin	0	0	0	0	0
Flucythrinate	0	0	0	0	0
Mevinphos	0	0	0	0	0
Spiromesifen	0	0	0	0	0
Malathion	0	0	0	0	0
cis-Cypermethrin	0	0	0	0	0
trans-Cypermethrin	0	0	0	0	0
cis-Fenvalerate	0	0	0	0	0
trans-Fenvalerate	0	0	0	0	0
Deltamethrin	0	0	0	0	0
cis-Cyfluthrin_isomer2	0	0	0	0	0
cis-Cyfluthrin_isomer1	0	0	0	0	0
trans-Cyfluthrin_Isomer2	0	0	0	0	0
trans-Cyfluthrin_isomer1	0	0	0	0	0
cis-Permethrin	0	0	0	0	0
trans-Permethrin	0	0	0	0	0
cis-Phenothrin	0	0	0	0	0
trans-Phenothrin	0	0	0	0	0
cis-Prallethrin	0	0	0	0	0
cis-Allethrin	0	0	0	0	0
lambda-Cyhalothrin	0	0	0	0	0
2,3-Benzofluorene	0	0	0	0	0
Celestolide	0	0	0	0	0
Traseolide	0	0	0	0	0
Phantolide	0	0	0	0	0
Phosmet	0	0	0	0	0
Rotenone	0	0	0	0	0
trans-Tetramethrin	0	0	0	0	0
cis-Tetramethrin	0	0	0	0	0
1,5-Dimethylnaphthalene	0	0	0	0	0
Carbaryl	0	0	0	0	0
Acenaphthene	0	0	0	0	0
2,6-Dimethylnaphthalene	0	0	0	0	0
2-Methylnaphthalene	0	0	0	0	0
1,2-Dimethylnaphthalene	0	0	0	0	0
1-Methylnaphthalene	0	0	0	0	0
1-Nitronaphthalene	0	0	0	0	0
1,3-Dimethylnaphthalene	0	0	0	0	0
1,8-Dimethylnaphthalene	0	0	0	0	0
1,4-Dimethylnaphthalene	0	0	0	0	0
Cycluron	0	0	0	0	0
Methomyl	0	0	0	0	0
Dimethoate	0	0	0	0	0
Terbufos	0	0	0	0	0
Endosulfan	0	0	0	0	0
Tris(1,3-dichloro-2-propyl)phosphate	0	0	0	0	0
Tri-p-cresyl-phosphate	0	0	0	0	0
Tris(2-ethylhexyl) phosphate	0	0	0	0	0
Tris(2-chloroethyl) phosphate	0	0	0	0	0
Monocrotophos	0	0	0	0	0
Tris(1-chloro-2-propyl) phosphate	0	0	0	0	0
Tris(isopropylphenyl)phosphate	0	0	0	0	0
Tris(3,5-xylenyl)phosphate	0	0	0	0	0
Tris(4-tert-butylphenyl) phosphate	0	0	0	0	0
Tri-m-cresyl phosphate	0	0	0	0	0
Isodecyl diphenyl phosphate	0	0	0	0	0
Tri-n-butyl-phosphate	0	0	0	0	0
Dicrotophos	0	0	0	0	0
Tris(2-butoxyethyl) phosphate	0	0	0	0	0
