class,scores,matches,molecular_flexibility,rotatable_bonds,stereo_centers,molecular_complexity,n_atoms,precursor_mz,electronegative_atoms,aromatic_nitrogens,amines,amides
Acenaphthylenes,937.8857718781576,68.42105263157895,0.0,0.0,0.0,0.63799,20.0,152.06192,0.0,0.0,0.0,0.0
Alkyl halides,134.11620312263543,61.15330289757505,0.42123,0.3333333333333333,0.6666666666666666,0.7224866666666667,19.0,290.67892166666667,5.666666666666667,0.0,0.0,0.0
Angucyclines,721.2182573233509,54.54545454545454,0.0094721,0.0,0.0,0.83603,30.0,258.0676,2.0,0.0,0.0,0.0
Anthracenes,942.0729814235752,76.19047619047619,0.0,0.0,0.0,0.56169,24.0,178.07754,0.0,0.0,0.0,0.0
Azoles,397.92271030749686,39.00995607959539,0.4807727272727273,3.5454545454545454,0.2727272727272727,0.8209072727272727,37.45454545454545,338.16737727272726,8.0,2.0,0.0,0.5454545454545454
Benzene and substituted derivatives,537.7092088433095,52.47583410609079,0.4271067088607595,3.462025316455696,0.4620253164556962,0.7201975949367089,32.06962025316456,311.8147593037975,5.158227848101266,0.5316455696202531,0.04430379746835443,0.27848101265822783
Benzimidazoles,859.0574317510552,46.36752136752137,0.27453,1.0,0.0,0.71194,21.5,192.54924,3.5,2.5,0.0,0.0
Benzodioxins,835.4949580021453,44.592768342768345,0.046797,0.0,0.0,0.8587983333333334,22.0,378.82598301269536,7.666666666666667,0.0,0.0,0.0
Benzodioxoles,415.68677431694067,53.83996633996634,0.32947125,4.5,0.0,0.7639925000000001,32.25,242.8496125,4.5,0.25,0.0,0.25
Benzofurans,876.4224539380511,43.784085195849904,0.0,0.0,0.0,0.8929033333333334,21.0,362.4982551627605,6.666666666666667,0.0,0.0,0.0
Benzopyrans,479.2146741213986,79.66101694915254,0.14622,0.0,2.0,0.86391,45.0,258.19662,1.0,0.0,0.0,0.0
Benzothiadiazoles,213.1081343362036,45.714285714285715,0.29745,2.0,0.0,0.73028,19.0,189.06958,5.0,2.0,0.0,0.0
Benzothiazoles,245.9146865152706,37.44343891402715,0.42518500000000004,2.5,0.0,0.70843,30.5,231.058455,5.0,1.0,0.0,1.5
Benzotriazoles,867.1835699185604,39.473684210526315,0.0,0.0,0.0,0.80343,20.0,189.0354,4.0,3.0,0.0,0.0
Carboximidic acids and derivatives,0.0,0.0,0.58077,5.0,0.0,0.52968,32.0,216.09338,5.0,0.0,0.0,1.0
Carboxylic acids and derivatives,146.00953629454304,33.853027699677185,0.5944825,6.0,1.0,0.703905,40.25,300.10778000000005,5.5,0.0,0.0,0.75
Cinnamaldehydes,212.1937057199359,43.8628841607565,0.46501,5.0,0.0,0.4956833333333333,29.0,180.07207333333335,1.0,0.0,0.0,0.0
Cinnamic acids and derivatives,631.0434772708114,55.55555555555556,0.45087,5.0,0.0,0.50791,32.0,238.0988,2.0,0.0,0.0,0.0
Cinnamyl alcohols,261.7479792061749,52.701149425287355,0.4977533333333333,4.0,0.3333333333333333,0.5885533333333334,31.0,216.09148000000002,2.6666666666666665,1.0,0.0,0.0
Coumarans,479.842812016274,37.533846872082165,0.22768375000000002,3.5,0.25,0.7709524999999999,36.0,263.3575675,5.0,0.0,0.0,0.25
Coumarins and derivatives,320.5040437641034,45.0,0.112229,0.0,0.0,0.71533,19.0,178.081955,3.0,0.0,0.0,0.0
Diazanaphthalenes,204.23625259000275,72.51461988304094,0.359765,3.5,0.0,0.8250200000000001,39.0,319.48465,6.0,2.5,0.0,0.5
Diazines,639.5685964565879,5.0,0.61604,7.0,0.0,0.79977,45.0,316.15631,8.0,2.0,0.0,1.0
Fatty Acyls,348.9299647743661,35.1644815393021,0.4959192,7.28,2.36,0.7736951999999999,48.28,380.28676120000006,5.6,0.0,0.0,0.0
Fluorenes,756.504006746479,47.80952380952381,0.0,0.0,0.0,0.7976350000000001,26.0,206.07252999999997,1.0,0.0,0.0,0.0
Indanes,530.3441595295033,79.18067226890757,0.29394666666666663,1.6666666666666667,1.0,0.8196566666666666,43.0,235.17027,1.0,0.0,0.0,0.0
Indoles and derivatives,656.8173952468887,46.666666666666664,0.33428,2.0,0.0,0.76113,22.0,316.99213,5.0,0.0,0.0,1.0
Isoflavonoids,513.0387366298046,17.333333333333336,0.13509,3.0,3.0,0.97949,51.0,394.1413,6.0,0.0,0.0,0.0
Isoindoles and derivatives,438.84520552000964,63.913525498891346,0.421425,5.0,2.0,0.84127,49.0,327.03522,5.0,0.0,0.0,1.0
Naphthalenes,723.3282420823862,64.90200939502182,0.0291271875,0.1875,0.0,0.648848125,23.4375,171.32633875,0.625,0.0,0.0,0.0625
Organic carbonic acids and derivatives,385.6824874098254,12.902097902097902,0.49004000000000003,2.0,0.0,0.52324,28.0,180.136005,4.0,0.0,0.0,1.5
Organic dithiophosphoric acids and derivatives,387.57514738879473,19.205569205569205,0.760865,6.5,0.0,0.49124,30.0,258.520475,6.5,0.0,0.0,0.5
Organic oxoanionic compounds,255.2076480533651,40.38461538461539,0.23103,0.0,4.0,0.98923,25.0,403.03317,10.0,0.0,0.0,0.0
Organic phosphoric acids and derivatives,128.93128748835593,20.861038422910074,0.69094625,9.6875,0.375,0.572568125,48.5,342.059595625,6.1875,0.0,0.0,0.125
Organic sulfuric acids and derivatives,359.57967934047133,51.49700598802395,0.19973,0.0,4.0,0.99174,26.0,422.80997,11.0,0.0,0.0,0.0
Organic thiophosphoric acids and derivatives,128.3121462048156,11.280498117415151,0.62988,7.0,0.0,0.6635775,35.5,338.2564,8.75,0.75,0.0,0.0
Organobromides,252.8971455085083,64.28571428571429,0.38993,0.0,4.0,0.58275,24.0,415.03531,4.0,0.0,0.0,0.0
Organochlorides,68.3984148569975,22.47191011235955,0.41905,1.0,2.0,0.89747,33.0,539.73718,8.0,0.0,0.0,0.0
Organonitrogen compounds,515.0918128837811,60.0,0.29385,3.0,0.0,0.72591,35.0,238.1422,6.0,2.0,0.0,1.0
Organooxygen compounds,435.1081140239836,59.23228191097548,0.3870725,3.5,0.75,0.741225,44.25,273.1665625,3.0,0.25,0.5,0.0
Organothiophosphorus compounds,102.1150299864112,2.2900763358778624,0.851,2.0,1.0,0.74893,20.0,182.05708,6.0,0.0,0.0,0.0
Oxanes,536.9368981304862,56.90846286701209,0.158215,0.0,3.5,0.828235,26.0,271.971445,4.5,0.0,0.0,0.0
Phenanthrenes and derivatives,728.2673701555743,47.95272894993241,0.01001023076923077,0.0,0.0,0.7740184615384614,30.153846153846153,234.25528615384616,0.23076923076923078,0.0,0.0,0.0
Phenol ethers,328.6572688180824,39.628105199041265,0.4682575,4.375,0.625,0.68976625,30.875,285.88851875,4.625,1.125,0.0,0.125
Phenols,725.6162895399684,32.905611857145956,0.2963475,1.75,0.0,0.660695,22.5,209.01329,2.5,0.0,0.0,0.0
Prenol lipids,365.78880046588273,56.17169731548595,0.2839386666666667,2.3333333333333335,2.7333333333333334,0.8079593333333334,35.13333333333333,285.05793466666665,3.6,0.4,0.0,0.0
Pyrenes,917.0412403272285,47.158874539564756,0.0,0.0,0.0,0.7485628571428571,32.57142857142857,262.0910757142857,0.0,0.0,0.0,0.0
Pyridines and derivatives,4.5497307462183,3.225806451612903,0.67387,6.0,0.0,0.71389,29.0,307.92197,9.0,1.0,0.0,0.0
Steroids and steroid derivatives,538.1453329395848,49.15790157825033,0.14771800000000002,0.2,5.2,0.8997360000000001,46.8,288.189732,2.0,0.0,0.0,0.0
Stilbenes,118.7146558567485,34.883720930232556,0.42661,4.0,2.0,0.86625,36.0,328.06427,6.0,3.0,0.0,0.0
Tetrahydroisoquinolines,66.50670962359199,21.052631578947366,0.28817,1.0,1.0,0.85157,47.0,312.18323,4.0,0.0,0.0,2.0
Tetralins,793.1467542349322,76.08695652173914,0.22959,1.0,1.0,0.82844,45.0,258.19778,1.0,0.0,0.0,0.0
Thiadiazinanes,496.2474015045519,24.390243902439025,0.44174,3.0,0.0,0.7659,44.0,305.15527,5.0,0.0,0.0,2.0
Thioethers,219.1708056208221,27.27272727272727,0.40879,2.0,0.0,0.68273,28.0,214.0882,6.0,0.0,0.0,0.0
Triazines,512.9817419280149,29.917708487617304,0.5061477777777778,5.333333333333333,0.1111111111111111,0.5924344444444444,33.666666666666664,231.57860000000002,6.111111111111111,3.0,0.0,0.0
Vinyl halides,438.3142038124294,60.82330542274335,0.04772333333333333,0.0,6.5,1.0360816666666668,30.0,458.79168333333337,8.833333333333334,0.0,0.0,0.0
