class,scores,matches,matches_norm_query,matches_norm_reference,molecular_flexibility,rotatable_bonds,stereo_centers,molecular_complexity,n_atoms,precursor_mz,electronegative_atoms,aromatic_nitrogens,amines,amides
Acenaphthylenes,937.8857718781576,13.0,0.3939393939393939,0.6842105263157895,0.0,0.0,0.0,0.63799,20.0,152.06192,0.0,0.0,0.0,0.0
Alkyl halides,121.8286471742046,35.5,0.2843155714554698,0.5270092226613966,0.38657,0.0,0.0,0.74229,18.0,281.05089999999996,6.0,0.0,0.0,0.0
Angucyclines,720.8009778757404,23.0,0.2987012987012987,0.5227272727272727,0.0094721,0.0,0.0,0.83603,30.0,258.0676,2.0,0.0,0.0,0.0
Anthracenes,942.0729814235752,16.0,0.35555555555555557,0.7619047619047619,0.0,0.0,0.0,0.56169,24.0,178.07754,0.0,0.0,0.0,0.0
Azoles,336.65327734948204,21.0,0.1875,0.3448275862068966,0.48949,3.0,0.0,0.83726,34.0,357.16022,8.0,2.0,0.0,0.0
Benzene and substituted derivatives,527.1775843601752,26.0,0.327639751552795,0.541289592760181,0.44409,3.0,0.0,0.73241,32.0,310.643095,5.0,0.0,0.0,0.0
Benzimidazoles,859.0574317510552,10.5,0.29711375212224106,0.4636752136752137,0.27453,1.0,0.0,0.71194,21.5,192.54924,3.5,2.5,0.0,0.0
Benzodioxins,837.0453749716056,36.5,0.25724358974358974,0.4442307692307692,0.0469965,0.0,0.0,0.8590949999999999,22.0,372.83274841308605,7.5,0.0,0.0,0.0
Benzodioxoles,409.3143588513524,16.0,0.29110054347826086,0.6201923076923077,0.33233999999999997,2.0,0.0,0.75749,26.5,235.56137999999999,5.0,0.0,0.0,0.0
Benzofurans,876.5430314411154,26.0,0.16267976989453498,0.4114630467571644,0.0,0.0,0.0,0.886925,21.0,356.8377532958985,6.5,0.0,0.0,0.0
Benzopyrans,477.2982012405654,43.0,0.31851851851851853,0.7288135593220338,0.14622,0.0,2.0,0.86391,45.0,258.19662,1.0,0.0,0.0,0.0
