query	reference	CosineHungarian_0.1_0.0_1.0_scores	CosineHungarian_0.1_0.0_1.0_matches
1,2-Benzanthraquinone	Perylene_2H12	0.024684778660792522	2
Octrizole	Perylene_2H12	0.004513797873453525	1
Carbetamide	Perylene_2H12	0.012148661550463223	1
Pendimethalin	Perylene_2H12	0.0016873461974022362	1
Mepanipyrim	Perylene_2H12	0.025619923006854017	2
Fenobucarb	Perylene_2H12	0.02679173231648173	1
Promecarb	Perylene_2H12	0.029883610691767263	1
Pyridaben	Perylene_2H12	0.054572879503842514	1
Ethiofencarb	Perylene_2H12	0.01487096687663051	1
Methoxychlor	Perylene_2H12	0.02592806458344584	1
Aminocarb	Perylene_2H12	0.010291084748548191	1
Siduron	Perylene_2H12	0.02761199220900595	1
Trifloxystrobin	Perylene_2H12	0.020373388369722117	1
Thiobencarb	Perylene_2H12	0.004720414645929514	1
Amitraz	Perylene_2H12	0.04256063956939936	1
Fenpropimorph	Perylene_2H12	0.029521696385580824	1
Dioxacarb	Perylene_2H12	0.012591404713124981	1
Cyproconazole	Perylene_2H12	0.006223407177694011	1
Penconazole	Perylene_2H12	0.008758000111670217	1
Triclosan	Perylene_2H12	0.008800329946394831	1
2,3-Dichlorobiphenyl	Perylene_2H12	0.010533513615570356	1
Methiocarb	Perylene_2H12	0.013633152727636662	1
Mexacarbate	Perylene_2H12	0.008767165443212096	1
Tebufenpyrad	Perylene_2H12	0.03931216894506725	1
Bendiocarb	Perylene_2H12	0.016859869963629478	1
Galaxolide	Perylene_2H12	0.024527952916273632	2
Vamidothion	Perylene_2H12	0.008547898899825653	1
alpha-Amylcinnamaldehyde	Perylene_2H12	0.006476149818130522	1
Ethofumesate	Perylene_2H12	0.04297370232655432	1
Traseolide	Perylene_2H12	0.020713245717834613	1
Terbufos	Perylene_2H12	0.011931936247950865	1
Monocrotophos	Perylene_2H12	0.016967538355374838	1
Tri-n-butyl-phosphate	Perylene_2H12	0.020630421618912178	1
7,12-Dimethylbenz[a]anthracene	Perylene_2H12	0.04606014046522289	2
1,4-Chrysenequinone	Perylene_2H12	0.020917729987811884	1
Triadimenol	Perylene_2H12	0.01843681765914936	1
Kresoxim-methyl	Perylene_2H12	0.022933733247417116	1
Tonalide	Perylene_2H12	0.014359872233343682	1
Ametryn	Perylene_2H12	0.026359768976542026	1
Octrizole	Perylene	0.4387841236101158	1
Pendimethalin	Perylene	0.1640261135325347	1
Mepanipyrim	Perylene	0.0054988784881535736	1
Monolinuron	Perylene	0.04425355345361807	1
Tetraconazole	Perylene	0.009072039647277408	1
Fenarimol	Perylene	0.023443083486740738	1
Tebuconazole	Perylene	0.05885131217969869	1
Thiobencarb	Perylene	0.05622628225055878	1
Paclobutrazol	Perylene	0.06486319039396224	1
Cyproconazole	Perylene	0.005828738810991071	1
Dicofol	Perylene	0.15404615319940607	2
Linuron	Perylene	0.17031630359411737	2
2,3-Dichlorobiphenyl	Perylene	0.02197841795456178	2
Methiocarb	Perylene	0.009335468006725248	1
Mexacarbate	Perylene	0.008211180149739934	1
