query	reference	CosineHungarian_0.01_0.0_1.0_scores	CosineHungarian_0.01_0.0_1.0_matches
Pendimethalin	Perylene_2H12	0.001687346197402198	1
Pyridaben	Perylene_2H12	0.05457287950384247	1
Trifloxystrobin	Perylene_2H12	0.02037338836972209	1
Amitraz	Perylene_2H12	0.042560639569399365	1
Fenpropimorph	Perylene_2H12	0.029521696385580852	1
Tebufenpyrad	Perylene_2H12	0.03931216894506722	1
alpha-Amylcinnamaldehyde	Perylene_2H12	0.006476149818130491	1
Monocrotophos	Perylene_2H12	0.01696753835537485	1
Triadimenol	Perylene_2H12	0.0184368176591494	1
Kresoxim-methyl	Perylene_2H12	0.02293373324741708	1
Pendimethalin	Perylene	0.16402611353253468	1
Cyproconazole	Perylene	0.005828738810991126	1
Pyriproxyfen	Phenanthrene_2H10	0.005149069214690706	1
Fenoxaprop-ethyl	Phenanthrene_2H10	0.009722067020854203	1
alpha-Hexylcinnamaldehyde	Phenanthrene_2H10	0.0008941915418020496	1
1,5-Dimethylnaphthalene	Phenanthrene_2H10	0.050688500357808385	1
2,6-Dimethylnaphthalene	Phenanthrene_2H10	0.0496856115815242	1
1,2-Dimethylnaphthalene	Phenanthrene_2H10	0.04921213434854755	1
1,3-Dimethylnaphthalene	Phenanthrene_2H10	0.05121525443275271	1
1,8-Dimethylnaphthalene	Phenanthrene_2H10	0.050326860755835326	1
1,4-Dimethylnaphthalene	Phenanthrene_2H10	0.050540938295263724	1
Isomethyl-alpha-ionone	Phenanthrene_2H10	0.005579627164990227	1
Fenoxycarb	Phenanthrene	0.0032903599386913565	1
2-Chlorobiphenyl	Phenanthrene	0.005835503016678542	1
Diethofencarb	Phenanthrene	0.006632789827940605	1
Bifenthrin	Phenanthrene	0.0017265501842973106	1
Fenoxaprop-ethyl	Phenanthrene	0.03449956314869243	1
Bitertanol	Phenanthrene	0.018104408415729484	2
para-Terphenyl	Phenanthrene	0.004173058214882483	1
Acenaphthene	Phenanthrene	0.0040246453836732645	1
2,6-Dimethylnaphthalene	Phenanthrene	0.002873974627357256	1
1,8-Dimethylnaphthalene	Phenanthrene	0.002973617275096177	1
1,4-Dimethylnaphthalene	Phenanthrene	0.0029440294325653346	1
Methomyl	Phenanthrene	0.024424732945946645	1
7,12-Dimethylbenz[a]anthracene	Phenanthrene	0.004372650448589004	1
1,4-Chrysenequinone	Phenanthrene	0.053637296546427814	1
Mepronil	Anthracene	0.0025256445628130623	1
Fenoxycarb	Anthracene	0.0034797848757683837	1
2-Chlorobiphenyl	Anthracene	0.0046632142168107895	1
Diethofencarb	Anthracene	0.006165976699394803	1
Iprovalicarb	Anthracene	0.0019080125996700694	1
Bifenthrin	Anthracene	0.002091803332694952	1
Fenoxaprop-ethyl	Anthracene	0.045192121330130765	1
Benzyl benzoate	Anthracene	0.008911081672373453	1
