query	reference	CosineHungarian_0.1_0.0_1.0_scores	CosineHungarian_0.1_0.0_1.0_matches
1,2-Benzanthraquinone	Perylene_2H12	0.024175246725587247	2
Tebuthiuron	Perylene_2H12	0.0041821200115292004	1
Octrizole	Perylene_2H12	0.004390344755922156	1
Carbetamide	Perylene_2H12	0.01108478186398124	1
Mepronil	Perylene_2H12	0.005969655688583115	1
Pendimethalin	Perylene_2H12	0.0016873461974022362	1
Mepanipyrim	Perylene_2H12	0.03389393975745181	3
2,2',5-Trichlorobiphenyl	Perylene_2H12	0.004891179075933378	1
Fenobucarb	Perylene_2H12	0.02648260049415319	1
Promecarb	Perylene_2H12	0.02844640858828471	1
Pyridaben	Perylene_2H12	0.051886773779974284	1
Ethiofencarb	Perylene_2H12	0.01391499568109347	1
Methoxychlor	Perylene_2H12	0.024953925229300844	1
Picoxystrobin	Perylene_2H12	0.020906528773112606	1
2,4,6-Trichlorobiphenyl	Perylene_2H12	0.003332911717530563	1
Bisphenol A	Perylene_2H12	0.003440842163769578	1
Aminocarb	Perylene_2H12	0.009913807819868682	1
2,4'-Dichlorodiphenyldichloroethane	Perylene_2H12	0.003627122559052188	1
Siduron	Perylene_2H12	0.026970025221331937	1
Monolinuron	Perylene_2H12	0.008919445140352833	1
Tetraconazole	Perylene_2H12	0.012512087295800011	1
Trifloxystrobin	Perylene_2H12	0.018897076030384347	1
Thiobencarb	Perylene_2H12	0.004331171263827895	1
Amitraz	Perylene_2H12	0.04149304454391643	1
Fenpropimorph	Perylene_2H12	0.040327902628841186	2
Dimethachlor	Perylene_2H12	0.0020439936842645947	1
Dioxacarb	Perylene_2H12	0.01243443893809759	1
Lilial	Perylene_2H12	0.014822352678521637	1
Cyproconazole	Perylene_2H12	0.0057156320667502755	1
2,4',5-Trichlorobiphenyl	Perylene_2H12	0.004135725673442624	1
Azoxystrobin	Perylene_2H12	0.0052740300065183075	1
Penconazole	Perylene_2H12	0.007896329955298476	1
Triclosan	Perylene_2H12	0.00841226646716555	1
2,3-Dichlorobiphenyl	Perylene_2H12	0.009813731636723827	1
