name	target_name	reverse_score	score	presence_ratio	matched_peaks_count
beta-Hexachlorocyclohexane	Chlorpyrifos	0.00429783085429722	0.00148183006029149	0.00934579439252336	1
epsilon-Hexachlorocyclohexane	Chlorpyrifos	0.00429783085429722	0.00148183006029149	0.00934579439252336	1
Lindane	Chlorpyrifos	0.00429783085429722	0.00148183006029149	0.00934579439252336	1
delta-Hexachlorocyclohexane	Chlorpyrifos	0.00429783085429722	0.00148183006029149	0.00934579439252336	1
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	Chlorpyrifos	0.00429783085429722	0.00148183006029149	0.00934579439252336	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Enzacamene	0.00696524341870413	0.00269118796342379	0.00847457627118644	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	cis-Cyfluthrin_isomer1	0.0026120952117354	0.00100924530135762	0.0151515151515152	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	trans-Cyfluthrin_Isomer2	0.00176484491133792	0.000681889935095187	0.00961538461538462	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Eucalyptol	0.0529828947678178	0.0204712053973023	0.0303030303030303	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Limonene	0.00864304464169571	0.00333944649294015	0.0416666666666667	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Progesterone	0.00319106252259743	0.00123294313423215	0.00595238095238095	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Testosterone	0.00497862661836853	0.00192361116824075	0.00769230769230769	1
1,2-Benzanthraquinone	1,2-Benzanthraquinone	0.326825237457499	0.326825237457499	0.0681818181818182	3
1,2-Benzanthraquinone	1,4-Chrysenequinone	0.253410861629111	0.253410861629111	0.0218978102189781	3
1,2-Benzanthraquinone	Thiobencarb	0.0054938585307149	0.00356421486053366	0.037037037037037	1
1,2-Benzanthraquinone	Linuron	0.00140033328435929	0.00090848511549929	0.0072463768115942	1
Ethiprole	Fipronil	0.26235218528885	0.082233396017104	0.0169491525423729	1
Ethiprole	Ethiprole	0.0795338597395544	0.0249296165668705	0.00373134328358209	1
Tebuthiuron	Tebuthiuron	0.10186317999239	0.0189335240356281	0.0526315789473684	1
Tebuthiuron	Metribuzin	0.00601259853419783	0.00222518206599244	0.0303030303030303	1
Pyraclostrobin	Methomyl	0.00360096025606828	0.00103474914660515	0.00909090909090909	1
Pyraclostrobin	Pyraclostrobin	0.00767629883865939	0.00220581264650268	0.0625	1
Octrizole	Octrizole	0.333654855347875	0.238593667187667	0.125	2
Octrizole	Isoeugenol	0.0248199505338987	0.00707142111080639	0.0232558139534884	1
Carfentrazone-ethyl	Fenoxaprop-ethyl	0.00371785612185012	0.000633634182616586	0.0126582278481013	1
Carfentrazone-ethyl	Carfentrazone-ethyl	0.0152415422604625	0.0152415422604625	0.036144578313253	3
Bumetrizole	Dicofol	0.0190976881282858	0.00281961362500522	0.0147058823529412	1
Bumetrizole	Bumetrizole	0.0427757273829862	0.0276154640085391	0.010989010989011	1
Bumetrizole	beta-Hexachlorocyclohexane	0.00665796808786346	0.000982993198406304	0.0144927536231884	1
Bumetrizole	alpha-1,2,3,4,5,6-Hexachlorocyclohexane	0.00742622730783307	0.00109642023468479	0.0161290322580645	1
Bumetrizole	Lindane	0.00981896653226105	0.00144968813145649	0.0149253731343284	1
Bumetrizole	delta-Hexachlorocyclohexane	0.00632425792249894	0.000933723688780638	0.015625	1
