query	reference	CosineHungarian_0.01_0.0_1.0_scores	CosineHungarian_0.01_0.0_1.0_matches
Pendimethalin	Perylene	0.16269140644374513	1
Fenobucarb	Phenanthrene	0.1416692159023254	1
2-Chlorobiphenyl	Phenanthrene	0.015933509852042463	1
Isoprocarb	Phenanthrene	0.10403590232928026	1
2,3-Dichlorobiphenyl	Phenanthrene	0.02820783891523783	1
1-Methylphenanthrene	Phenanthrene	0.012368461101686115	1
1,4-Chrysenequinone	Phenanthrene	0.052110094232504414	1
Fenobucarb	Anthracene	0.1431660170188028	1
2-Chlorobiphenyl	Anthracene	0.012091309483521419	1
Isoprocarb	Anthracene	0.10513508999519888	1
2,3-Dichlorobiphenyl	Anthracene	0.02140581161041167	1
1-Methylphenanthrene	Anthracene	0.010520158763171675	1
1,4-Chrysenequinone	Anthracene	0.049952086281716906	1
Mepronil	Acenaphthylene	0.029213321312960984	1
2-Chlorobiphenyl	Acenaphthylene	0.13578966762081818	2
Diethofencarb	Acenaphthylene	0.0240047032576485	1
Iprovalicarb	Acenaphthylene	0.02192102424815533	1
Benzyl benzoate	Acenaphthylene	0.09766128487576092	1
Bitertanol	Acenaphthylene	0.05899581128524796	1
4-Methylbenzophenone	Acenaphthylene	0.031271067164286695	1
2,3-Dichlorobiphenyl	Acenaphthylene	0.17364720597405595	1
Methiocarb	Acenaphthylene	0.041172706514872176	1
Benzyl salicylate	Acenaphthylene	0.10759708503990158	1
Galaxolide	Acenaphthylene	0.01074584093776631	1
Benalaxyl	Acenaphthylene	0.11298584907584007	1
Benzyl cinnamate	Acenaphthylene	0.08497146841511984	1
Acenaphthene	Acenaphthylene	0.026035145537474064	1
Tri-p-cresyl-phosphate	Acenaphthylene	0.031118420065369377	1
Tri-m-cresyl phosphate	Acenaphthylene	0.04093045685922008	1
Tri-o-cresyl phosphate	Acenaphthylene	0.09020326529198171	1
Kresoxim-methyl	Acenaphthylene	0.028887261866167253	1
Enzacamene	Acenaphthylene	0.01690117501263241	1
Mepronil	Acenaphthene	0.00618564285965039	1
Fenoxycarb	Acenaphthene	0.009881217887756054	1
2-Chlorobiphenyl	Acenaphthene	0.2751089853135177	2
Diethofencarb	Acenaphthene	0.013799987639064936	1
Pyriproxyfen	Acenaphthene	0.010911326218949625	1
Fenoxaprop-ethyl	Acenaphthene	0.05373621113428875	1
Benzophenone	Acenaphthene	0.005437793331501272	1
Bitertanol	Acenaphthene	0.3708450343303571	1
2,3-Dichlorobiphenyl	Acenaphthene	0.06746586843936096	1
Methiocarb	Acenaphthene	0.023669646521918507	1
Acenaphthene	Acenaphthene	0.6436120559493244	2
2,6-Dimethylnaphthalene	Acenaphthene	0.00860476749946976	1
2-Methylnaphthalene	Acenaphthene	0.0074073746210657565	1
1,2-Dimethylnaphthalene	Acenaphthene	0.06579540765431731	1
1,4-Dimethylnaphthalene	Acenaphthene	0.00900209274374417	1
1-Methylphenanthrene	Acenaphthene	0.006823404502071384	1
Carbaryl	Fluoranthene	0.06513312438408865	1
Atrazine	Fluoranthene	0.049789524718363114	1
Carbaryl	Pyrene	0.07585314711026152	1
Atrazine	Pyrene	0.050420292566096724	1
para-Terphenyl	para-Terphenyl	0.9222347316702997	2
Terbuthylazine	para-Terphenyl	0.15915851127340286	3
Retene	Retene	0.6145833087067637	2
2,3-Benzofluorene	2,3-Benzofluorene	0.7245187691125208	3
Atrazine	2,3-Benzofluorene	0.7637466020670101	2
Terbuthylazine	Triphenylene	0.14300866952692726	1
Terbuthylazine	Benzanthracene/Benzophenanthrene	0.13768125342413318	1
Pendimethalin	Benzofluoranthene	0.1690029493109072	1
Pendimethalin	Benzo(k)fluoranthene	0.16639462379166345	1
Pendimethalin	Benzo[e]pyrene	0.16159953906165347	1
Pendimethalin	Benzo(a)pyrene	0.16566906626616154	1
Metazachlor	Indeno[1,2,3-cd]pyrene	0.06496087887199091	1
Propham	Indeno[1,2,3-cd]pyrene	0.009061010979734564	1
Chlorpyrifos oxon	Indeno[1,2,3-cd]pyrene	0.02030106044841668	1
Flutriafol	Benzo(g,h,i)perylene	0.016025851675824397	1
Metazachlor	Benzo(g,h,i)perylene	0.06373689428090051	1
Propham	Benzo(g,h,i)perylene	0.01158414354406413	1
Chlorpyrifos oxon	Benzo(g,h,i)perylene	0.025954101463639658	1
Metazachlor	Anthanthrene	0.06649723543632664	1
Flutriafol	Dibenzanthracene	0.010197445322600272	1
Dimethomorph	Coronene	0.12139393820847802	1
Fenhexamid	Coronene	0.1867141133298322	1
Mefenacet	Coronene	0.0687118059619021	1
Fenarimol	Dicofol	0.26315624780520885	1
Dicofol	Dicofol	0.8801417359921223	2
