query	reference	scores
Acenaphthylene	Acenaphthylene	0.687403678894043
beta-Hexachlorocyclohexane	beta-Hexachlorocyclohexane	0.2698943316936493
epsilon-Hexachlorocyclohexane	epsilon-Hexachlorocyclohexane	0.33434271812438965
Lindane	Lindane	0.280735582113266
delta-Hexachlorocyclohexane	delta-Hexachlorocyclohexane	0.30744996666908264
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	alpha-1,2,3,4,5,6-Hexachlorocyclohexane	0.3229750394821167
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	0.24915915727615356
1,2-Benzanthraquinone	1,2-Benzanthraquinone	0.5649072527885437
Anthracene	Anthracene	0.7042855620384216
Ethiprole	Ethiprole	0.2632872462272644
Tebuthiuron	Tebuthiuron	0.1886407732963562
Pyraclostrobin	Pyraclostrobin	0.3495272397994995
Octrizole	Octrizole	0.37062162160873413
Drometrizole	Drometrizole	0.44168829917907715
Carfentrazone-ethyl	Carfentrazone-ethyl	0.23715250194072723
Bumetrizole	Bumetrizole	0.297941118478775
Sulfentrazone	Sulfentrazone	0.4808148741722107
2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol	2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol	0.3669067919254303
Cyazofamid	Cyazofamid	0.2820258140563965
Fipronil	Fipronil	0.6391946077346802
4,4'-Dichlorodiphenyldichloroethane	4,4'-Dichlorodiphenyldichloroethane	0.4656846821308136
2,2',3,5'-Tetrachlorobiphenyl	2,2',3,5'-Tetrachlorobiphenyl	0.6968426704406738
2,2',3,4',5,5'-Hexachloro-4-methoxybiphenyl	2,2',3,4',5,5'-Hexachloro-4-methoxybiphenyl	0.5017918944358826
Carbetamide	Carbetamide	0.4787335991859436
2,3,3',4',6-Pentachlorobiphenyl	2,3,3',4',6-Pentachlorobiphenyl	0.6301042437553406
Mepronil	Mepronil	0.6945255994796753
2,6-Dichloro-4-nitroaniline	2,6-Dichloro-4-nitroaniline	0.4790094494819641
2,3,3',4,5-Pentachlorobiphenyl	2,3,3',4,5-Pentachlorobiphenyl	0.686217725276947
Difenoconazole	Difenoconazole_isomer1	0.376573383808136
Difenoconazole	Difenoconazole_isomer2	0.3614213764667511
Benzoximate	Benzoximate	0.053089313209056854
2,4,4'-Trichlorobiphenyl	2,4,4'-Trichlorobiphenyl	0.6831373572349548
Hexabromobenzene	Hexabromobenzene	0.783528208732605
Pentachlorobenzene	Pentachlorobenzene	0.8354499936103821
Pendimethalin	Pendimethalin	0.29528212547302246
Furalaxyl	Furalaxyl	0.574346125125885
Mepanipyrim	Mepanipyrim	0.5199726223945618
Hexachlorobenzene	Hexachlorobenzene	0.8712188601493835
2,3',4,6-Tetrachlorobiphenyl	2,3',4,6-Tetrachlorobiphenyl	0.6934365630149841
Spirotetramat	Spirotetramat	0.22540631890296936
2,4'-Dichlorodiphenyltrichloroethane	2,4'-Dichlorodiphenyltrichloroethane	0.5101044774055481
2,2',5-Trichlorobiphenyl	2,2',5-Trichlorobiphenyl	0.7154812812805176
Transfluthrin	Transfluthrin	0.3826711177825928
Fenobucarb	Fenobucarb	0.25614675879478455
Promecarb	Promecarb	0.2615249752998352
Spirodiclofen	Spirodiclofen	0.1576257050037384
Pyridaben	Pyridaben	0.5796808004379272
2,3,4,5,6-Pentabromoethylbenzene	2,3,4,5,6-Pentabromoethylbenzene	0.6406145691871643
Flusilazole	Flusilazole	0.3183358907699585
Carboxin	Carboxin	0.6890008449554443
2,3,3',4',5',6-Hexachlorobiphenyl	2,3,3',4',5',6-Hexachlorobiphenyl	0.7321945428848267
2,2',5,5'-Tetrachlorobiphenyl	2,2',5,5'-Tetrachlorobiphenyl	0.715221107006073
2,3',5',6-Tetrachlorobiphenyl	2,3',5',6-Tetrachlorobiphenyl	0.7323644161224365
Ethiofencarb	Ethiofencarb	0.25200480222702026
2,2',3,3',4,5',6,6'-Octachlorobiphenyl	2,2',3,3',4,5',6,6'-Octachlorobiphenyl	0.5405527949333191
Bromuconazole	Bromuconazole_isomer1	0.41433990001678467
Bromuconazole	Bromuconazole_isomer2	0.4110782742500305
Fenoxycarb	Fenoxycarb	0.22548340260982513
Triflumizole	Triflumizole	0.3910178542137146
2-Ethylhexyl 2,3,4,5-Tetrabromobenzoate	2-Ethylhexyl 2,3,4,5-Tetrabromobenzoate	0.37082791328430176
Myclobutanil	Myclobutanil	0.3264462649822235
Methoxychlor	Methoxychlor	0.5474342107772827
Flufenacet	Flufenacet	0.4074028730392456
Picoxystrobin	Picoxystrobin	0.3945208787918091
2,4,6-Trichlorobiphenyl	2,4,6-Trichlorobiphenyl	0.7090935111045837
Bisphenol A	Bisphenol A	0.4436143636703491
2,2',3,4,4',5',6-Heptabromodiphenyl ether	2,2',3,4,4',5',6-Heptabromodiphenyl ether	0.37338581681251526
Aminocarb	Aminocarb	0.4900512099266052
4-tert-Octylphenol	4-tert-Octylphenol	0.5987679958343506
Etoxazole	Etoxazole	0.3989044427871704
Butafenacil	Butafenacil	0.5877983570098877
2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl	2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl	0.6499477624893188
2,3,3',4,5,6-Hexachlorobiphenyl	2,3,3',4,5,6-Hexachlorobiphenyl	0.728235125541687
2,4'-Dichlorodiphenyldichloroethane	2,4'-Dichlorodiphenyldichloroethane	0.34109634160995483
Flutriafol	Flutriafol	0.49906593561172485
Siduron	Siduron	0.21481607854366302
2,3,4,5,6-Pentabromobenzyl alcohol	2,3,4,5,6-Pentabromobenzyl alcohol	0.0784260556101799
2,2',3,4',5,5',6-Heptachloro-4-methoxybiphenyl	2,2',3,4',5,5',6-Heptachloro-4-methoxybiphenyl	0.5198535323143005
2,2',3,4,4',5',6-Heptachlorobiphenyl	2,2',3,4,4',5',6-Heptachlorobiphenyl	0.7083072662353516
2,2',4,5,5'-Pentachlorobiphenyl	2,2',4,5,5'-Pentachlorobiphenyl	0.7146422266960144
2-Chlorobiphenyl	2-Chlorobiphenyl	0.8038508892059326
Monolinuron	Monolinuron	0.6857035756111145
Pentabromobenzene	Pentabromobenzene	0.7360556721687317
Diethofencarb	Diethofencarb	0.270906001329422
Tetraconazole	Tetraconazole	0.2746933102607727
4-Methoxybenzyl alcohol	4-Methoxybenzyl alcohol	0.4891893267631531
2,2',4,4',5,5'-Hexachlorobiphenyl	2,2',4,4',5,5'-Hexachlorobiphenyl	0.6775355339050293
3,3',4,5,5'-Pentachlorobiphenyl	3,3',4,5,5'-Pentachlorobiphenyl	0.6762503385543823
Pyriproxyfen	Pyriproxyfen	0.32856762409210205
Fenarimol	Fenarimol	0.6175435185432434
Butylated hydroxytoluene	Butylated hydroxytoluene	0.5024195313453674
Iprovalicarb	Iprovalicarb isomer 1	0.4398787021636963
Iprovalicarb	Iprovalicarb isomer 2	0.43648210167884827
Bifenthrin	Bifenthrin	0.5713891983032227
Trifloxystrobin	Trifloxystrobin	0.4213562607765198
2,2',3,4,5'-Pentachlorobiphenyl	2,2',3,4,5'-Pentachlorobiphenyl	0.7185103893280029
