query	reference	CosineHungarian_0.0035_0.0_1.0_scores	CosineHungarian_0.0035_0.0_1.0_matches
Benzo(k)fluoranthene	Perylene	0.9319002700401945	2
Perylene_2H12	Perylene	0.9292148195936172	2
Perylene	Perylene	0.9184279366287514	2
Benzofluoranthene	Perylene	0.9265197791814388	2
Benzo(a)pyrene	Perylene	0.9296517500798961	2
Benzo[e]pyrene	Perylene	0.9348785591918792	2
Acenaphthylene	Phenanthrene	0.15048887735702687	1
Anthracene	Phenanthrene	0.9274294211534851	2
2-Chlorobiphenyl	Phenanthrene	0.015933509852042442	1
2,3-Dichlorobiphenyl	Phenanthrene	0.028207838915237832	1
1-Methylphenanthrene	Phenanthrene	0.01236846110168611	1
1,4-Chrysenequinone	Phenanthrene	0.0521100942325044	1
Phenanthrene_2H10	Phenanthrene	0.9281287773512302	2
Phenanthrene	Phenanthrene	0.9330871181634398	2
Acenaphthylene	Anthracene	0.11420004800249692	1
Anthracene	Anthracene	0.9369045284342139	2
2-Chlorobiphenyl	Anthracene	0.01209130948352138	1
2,3-Dichlorobiphenyl	Anthracene	0.02140581161041166	1
1-Methylphenanthrene	Anthracene	0.010520158763171635	1
1,4-Chrysenequinone	Anthracene	0.049952086281716934	1
Phenanthrene_2H10	Anthracene	0.9376110296231033	2
Phenanthrene	Anthracene	0.9426200274557377	2
Acenaphthylene	Acenaphthylene	0.9417977585419878	2
Mepronil	Acenaphthylene	0.029213321312960967	1
2-Chlorobiphenyl	Acenaphthylene	0.09808654521465793	1
Iprovalicarb	Acenaphthylene	0.021921024248155355	1
Benzyl benzoate	Acenaphthylene	0.09766128487576096	1
4-Methylbenzophenone	Acenaphthylene	0.031271067164286695	1
2,3-Dichlorobiphenyl	Acenaphthylene	0.17364720597405592	1
Benzyl salicylate	Acenaphthylene	0.10759708503990162	1
Galaxolide	Acenaphthylene	0.010745840937766342	1
Benalaxyl	Acenaphthylene	0.11298584907584013	1
Benzyl cinnamate	Acenaphthylene	0.08497146841511988	1
Tri-p-cresyl-phosphate	Acenaphthylene	0.03111842006536941	1
Tri-m-cresyl phosphate	Acenaphthylene	0.04093045685922008	1
Tri-o-cresyl phosphate	Acenaphthylene	0.09020326529198174	1
Kresoxim-methyl	Acenaphthylene	0.028887261866167278	1
Enzacamene	Acenaphthylene	0.016901175012632434	1
cis-Resmethrin	Acenaphthylene	0.02285152288655081	1
Acenaphthylene	Acenaphthene	0.35993054384154677	1
Mepronil	Acenaphthene	0.006185642859650379	1
Fenoxycarb	Acenaphthene	0.009881217887756083	1
2-Chlorobiphenyl	Acenaphthene	0.2751089853135177	2
Pyriproxyfen	Acenaphthene	0.010911326218949623	1
Fenoxaprop-ethyl	Acenaphthene	0.05373621113428878	1
Benzophenone	Acenaphthene	0.00543779333150129	1
Bitertanol	Acenaphthene	0.37084503433035704	1
2,3-Dichlorobiphenyl	Acenaphthene	0.06746586843936098	1
trans-Cinnamaldehyde	Acenaphthene	0.00645401683869513	1
Acenaphthene	Acenaphthene	0.6436120559493244	2
1,4-Naphthoquinone	Acenaphthene	0.01377333100735106	1
2,6-Dimethylnaphthalene	Acenaphthene	0.008604767499469769	1
2-Methylnaphthalene	Acenaphthene	0.0074073746210657964	1
1,2-Dimethylnaphthalene	Acenaphthene	0.06579540765431735	1
1,4-Dimethylnaphthalene	Acenaphthene	0.009002092743744161	1
