query	reference	CosineHungarian_0.01_0.0_1.0_scores	CosineHungarian_0.01_0.0_1.0_matches
Perylene	Perylene	0.8921650687160719	12
Phenanthrene	Phenanthrene	0.9440450943644676	15
Anthracene	Anthracene	0.9420729814235752	16
Acenaphthylene	Acenaphthylene	0.9378857718781576	13
Acenaphthene	Acenaphthene	0.6686826253068304	13
Fluoranthene	Fluoranthene	0.948774017682199	15
Pyrene	Pyrene	0.937075996631993	13
para-Terphenyl	para-Terphenyl	0.8891480656798413	17
Retene	Retene	0.6475717890239174	34
Benzo[b]naphtho[2,1-d]thiophene	Benzo[b]naphtho[2,1-d]thiophene	0.9589889194029564	7
2,3-Benzofluorene	2,3-Benzofluorene	0.704865199182585	10
Benzo[ghi]fluoranthene	Benzo[ghi]fluoranthene	0.927036972707218	12
Triphenylene	Triphenylene	0.9092048795662075	16
Benzanthracene/Benzophenanthrene	Benzanthracene/Benzophenanthrene	0.88058927099081	13
Benzofluoranthene	Benzofluoranthene	0.9406410204929744	11
Benzo(k)fluoranthene	Benzo(k)fluoranthene	0.9489121444797912	15
Benzo[e]pyrene	Benzo[e]pyrene	0.9224799448827952	14
Benzo(a)pyrene	Benzo(a)pyrene	0.9362855625100808	13
Indeno[1,2,3-cd]pyrene	Indeno[1,2,3-cd]pyrene	0.9434474699006726	9
Benzo(g,h,i)perylene	Benzo(g,h,i)perylene	0.911320331267288	11
Anthanthrene	Anthanthrene	0.9130441739189382	14
Dibenzanthracene	Dibenzanthracene	0.910767776499818	16
Coronene	Coronene	0.8556352031788313	8
Dicofol	Dicofol	0.8484925647408332	9
Benzophenone	Benzophenone	0.9068416030069704	11
2-tert-Butyl-4-methoxyphenol	2-tert-Butyl-4-methoxyphenol	0.5361664161984837	19
Butylated hydroxytoluene	Butylated hydroxytoluene	0.5929706797659072	20
Bumetrizole	Bumetrizole	0.2667777725699015	23
4-Methylbenzophenone	4-Methylbenzophenone	0.6568811489638633	14
2,4,6-Tribromophenol	2,4,6-Tribromophenol	0.8296648567056003	23
2,6-Dichloro-4-nitroaniline	2,6-Dichloro-4-nitroaniline	0.5065024202916136	19
1-Methylphenanthrene	1-Methylphenanthrene	0.8436073116340173	12
Triclosan	Triclosan	0.2430807078046091	12
Drometrizole	Drometrizole	0.7638230354119235	11
Enzacamene	Enzacamene	0.4187217729481738	60
2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol	2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol	0.336653277349482	25
Octrizole	Octrizole	0.459279136577339	12
1,2,7,9-Tetrachlorodibenzofuran	1,2,7,9-Tetrachlorodibenzofuran	0.8462278949688693	24
2,2',3,4,5,5',6-Heptachlorobiphenyl	2,2',3,4,5,5',6-Heptachlorobiphenyl	0.7505131451183916	56
2,4,6-Trichlorobiphenyl	2,4,6-Trichlorobiphenyl	0.8693785106504954	35
2,2',3,3',4,5',6,6'-Octachlorobiphenyl	2,2',3,3',4,5',6,6'-Octachlorobiphenyl	0.7865305771086426	67
Mirex	Mirex	0.4373910460057382	66
beta-Hexachlorocyclohexane	beta-Hexachlorocyclohexane	0.097259381039445	38
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	alpha-1,2,3,4,5,6-Hexachlorocyclohexane	0.1591087339595496	44
Lindane	Lindane	0.0931597595116204	36
delta-Hexachlorocyclohexane	delta-Hexachlorocyclohexane	0.1285253561596429	44
epsilon-Hexachlorocyclohexane	epsilon-Hexachlorocyclohexane	0.1395879006356688	42
Pentachlorobenzene	Pentachlorobenzene	0.946829271683286	35
Hexachlorobenzene	Hexachlorobenzene	0.9327039170603884	39
2,4'-Dichlorodiphenyldichloroethylene	2,4'-Dichlorodiphenyldichloroethylene	0.5067551470422385	36
2,4'-Dichlorodiphenyldichloroethane	2,4'-Dichlorodiphenyldichloroethane	0.4165181481823979	26
2,4'-Dichlorodiphenyltrichloroethane	2,4'-Dichlorodiphenyltrichloroethane	0.629799641529818	43
1,2,7,9-Tetrachlorodibenzo-p-dioxin	1,2,7,9-Tetrachlorodibenzo-p-dioxin	0.8110538710571302	18
2,4,4'-Trichlorobiphenyl	2,4,4'-Trichlorobiphenyl	0.8744627267157198	30
2,2',4,5,5'-Pentachlorobiphenyl	2,2',4,5,5'-Pentachlorobiphenyl	0.8054739456488558	48
2,3',4,4',5-Pentachlorobiphenyl	2,3',4,4',5-Pentachlorobiphenyl	0.9071642546098232	38
2,2',3,4,4',5'-Hexachlorobiphenyl	2,2',3,4,4',5'-Hexachlorobiphenyl	0.8179186552452434	58
2,2',4,4',5,5'-Hexachlorobiphenyl	2,2',4,4',5,5'-Hexachlorobiphenyl	0.7735840982090951	74
2,2',3,4,4',5,5'-Heptachlorobiphenyl	2,2',3,4,4',5,5'-Heptachlorobiphenyl	0.7722145388709022	75
2,2',5,5'-Tetrachlorobiphenyl	2,2',5,5'-Tetrachlorobiphenyl	0.8099517835414802	50
2,3',4,6-Tetrachlorobiphenyl	2,3',4,6-Tetrachlorobiphenyl	0.8701459521896978	44
2,3',5',6-Tetrachlorobiphenyl	2,3',5',6-Tetrachlorobiphenyl	0.8410059114468548	37
2,2',3,4',5-Pentachlorobiphenyl	2,2',3,4',5-Pentachlorobiphenyl	0.796121202930083	58
2,3,3',4,5-Pentachlorobiphenyl	2,3,3',4,5-Pentachlorobiphenyl	0.8756548375190589	42
3,3',4,5,5'-Pentachlorobiphenyl	3,3',4,5,5'-Pentachlorobiphenyl	0.8818947623834824	42
2,3',4,4',5',6-Hexachlorobiphenyl	2,3',4,4',5',6-Hexachlorobiphenyl	0.8636929413285311	63
2,3,3',4,5,6-Hexachlorobiphenyl	2,3,3',4,5,6-Hexachlorobiphenyl	0.8546841148919162	64
2,3,3',4',5',6-Hexachlorobiphenyl	2,3,3',4',5',6-Hexachlorobiphenyl	0.8692233057547234	64
2,3,3',4',5,6-Hexachlorobiphenyl	2,3,3',4',5,6-Hexachlorobiphenyl	0.847330235552079	47
2,3,3',4',5,5',6-Heptachlorobiphenyl	2,3,3',4',5,5',6-Heptachlorobiphenyl	0.8197509934157269	67
cis-Prallethrin	cis-Prallethrin	0.6375902591489319	27
cis-Resmethrin	cis-Resmethrin	0.2795364079548856	30
trans-Resmethrin	trans-Resmethrin	0.3364971403401969	38
cis-Tetramethrin	cis-Tetramethrin	0.3865169067296427	17
trans-Tetramethrin	trans-Tetramethrin	0.4911735043103766	19
Bifenthrin	Bifenthrin	0.7241051652066511	19
Fenpropathrin	Fenpropathrin	0.2475325423495942	24
cis-Phenothrin	cis-Phenothrin	0.6930832132257273	25
trans-Phenothrin	trans-Phenothrin	0.293291377392092	24
cis-Cyphenothrin	cis-Cyphenothrin	0.6147827071849804	30
trans-Cyphenothrin	trans-Cyphenothrin	0.1632458283012519	17
