name	target_name	reverse_score	score	presence_ratio	matched_peaks_count
Acenaphthylene	Acenaphthylene	0.683615743064612	0.354585245861373	0.315789473684211	6
beta-Hexachlorocyclohexane	beta-Hexachlorocyclohexane	0.175880761269498	0.0369969515557257	0.246376811594203	17
epsilon-Hexachlorocyclohexane	epsilon-Hexachlorocyclohexane	0.321387617106809	0.0681118957037871	0.318181818181818	21
Lindane	Lindane	0.282113775903856	0.0263525507660333	0.223880597014925	15
delta-Hexachlorocyclohexane	delta-Hexachlorocyclohexane	0.268692332254443	0.0256006992942614	0.3125	20
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	alpha-1,2,3,4,5,6-Hexachlorocyclohexane	0.339223661222828	0.0460027584403349	0.338709677419355	21
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	0.0	0.0	0.0	0
1,2-Benzanthraquinone	1,2-Benzanthraquinone	0.491122708707988	0.246706559559347	0.340909090909091	15
Anthracene	Anthracene	0.791065405824481	0.405394612201405	0.476190476190476	10
Ethiprole	Ethiprole	0.188899425729047	0.0398392599867764	0.0373134328358209	10
Tebuthiuron	Tebuthiuron	0.277940937215481	0.0295134188133813	0.105263157894737	2
Pyraclostrobin	Pyraclostrobin	0.460148693572527	0.0527203584433902	0.5625	9
Octrizole	Octrizole	0.518320315407443	0.151880297836503	0.5	8
Drometrizole	Drometrizole	0.588701094415478	0.198711967246296	0.275862068965517	8
Carfentrazone-ethyl	Carfentrazone-ethyl	0.138155925413858	0.0664133873887951	0.325301204819277	27
Bumetrizole	Bumetrizole	0.170086969685882	0.0478704552466439	0.120879120879121	11
Sulfentrazone	Sulfentrazone	0.324008746073657	0.252803378183077	0.165217391304348	19
2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol	2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol	0.505713331236347	0.15154218696848	0.525	21
Cyazofamid	Cyazofamid	0.0631366034860698	0.0489723206557695	0.0615384615384615	4
Fipronil	Fipronil	0.597545645227685	0.246718557027312	0.338983050847458	20
4,4'-Dichlorodiphenyldichloroethane	4,4'-Dichlorodiphenyldichloroethane	0.0	0.0	0.0	0
2,2',3,5'-Tetrachlorobiphenyl	2,2',3,5'-Tetrachlorobiphenyl	0.415208728341587	0.179802227231354	0.135802469135802	11
2,2',3,4',5,5'-Hexachloro-4-methoxybiphenyl	2,2',3,4',5,5'-Hexachloro-4-methoxybiphenyl	0.0697687832099883	0.0007222927405253	0.024390243902439	4
Carbetamide	Carbetamide	0.0192661252638501	0.0031529580477294	0.1875	3
2,3,3',4',6-Pentachlorobiphenyl	2,3,3',4',6-Pentachlorobiphenyl	0.0	0.0	0.0	0
Mepronil	Mepronil	0.133485544663261	0.030272844682019	0.214285714285714	3
2,6-Dichloro-4-nitroaniline	2,6-Dichloro-4-nitroaniline	0.120172165859707	0.0417624154125862	0.0425531914893617	4
2,3,3',4,5-Pentachlorobiphenyl	2,3,3',4,5-Pentachlorobiphenyl	0.762613715361616	0.475886684781483	0.603448275862069	35
Difenoconazole	Difenoconazole_isomer1	0.524179502276408	0.175414109818041	0.48936170212766	23
Difenoconazole	Difenoconazole_isomer2	0.624466136788347	0.133527892648274	0.262295081967213	16
Benzoximate	Benzoximate	0.0054484306027182	6.59835966042078e-05	0.0285714285714286	1
2,4,4'-Trichlorobiphenyl	2,4,4'-Trichlorobiphenyl	0.728816948815106	0.430207220249801	0.575	23
Hexabromobenzene	Hexabromobenzene	0.356126710573686	0.129260542837719	0.165137614678899	18
Pentachlorobenzene	Pentachlorobenzene	0.772046765808304	0.585087243143697	0.461538461538462	24
Pendimethalin	Pendimethalin	0.0	0.0	0.0	0
Furalaxyl	Furalaxyl	0.120473464453323	0.030872773708115	0.219512195121951	9
