name	target_name	reverse_score	score	presence_ratio	matched_peaks_count
beta-Hexachlorocyclohexane	Triclosan	0.105889488596718	0.00163437360409003	0.043010752688172	4
beta-Hexachlorocyclohexane	2,2',3,4,5,5',6-Heptachlorobiphenyl	0.0112114170270956	0.000144964240860142	0.036036036036036	4
beta-Hexachlorocyclohexane	2,4,6-Trichlorobiphenyl	0.0174722355485109	0.000183500042010688	0.0555555555555556	3
beta-Hexachlorocyclohexane	2,2',3,3',4,5',6,6'-Octachlorobiphenyl	0.040946425229514	0.000741430341595562	0.0264550264550265	5
beta-Hexachlorocyclohexane	beta-Hexachlorocyclohexane	0.175880761269498	0.0369969515557257	0.246376811594203	17
beta-Hexachlorocyclohexane	alpha-1,2,3,4,5,6-Hexachlorocyclohexane	0.0881391938257616	0.00520659154105497	0.145161290322581	9
beta-Hexachlorocyclohexane	Lindane	0.0780483440827239	0.00562696891840924	0.164179104477612	11
beta-Hexachlorocyclohexane	delta-Hexachlorocyclohexane	0.0685679781841729	0.00472489247360909	0.15625	10
beta-Hexachlorocyclohexane	epsilon-Hexachlorocyclohexane	0.114836734692982	0.0185000212524659	0.196969696969697	13
beta-Hexachlorocyclohexane	Pentachlorobenzene	0.0819833532476434	0.00130697510720911	0.0961538461538462	5
beta-Hexachlorocyclohexane	2,2',4,5,5'-Pentachlorobiphenyl	0.0130148461128755	0.00016023466220957	0.0493827160493827	4
beta-Hexachlorocyclohexane	2,2',3,4,4',5'-Hexachlorobiphenyl	0.0384103373648347	0.000611441465959491	0.0531914893617021	5
beta-Hexachlorocyclohexane	2,2',4,4',5,5'-Hexachlorobiphenyl	0.0448750649227231	0.00072624367351326	0.0508474576271186	6
beta-Hexachlorocyclohexane	2,2',3,4,4',5,5'-Heptachlorobiphenyl	0.0128389382040788	0.000183164041227798	0.040983606557377	5
beta-Hexachlorocyclohexane	2,2',3,4',5-Pentachlorobiphenyl	0.0122585334163061	0.000128483086840148	0.0337078651685393	3
beta-Hexachlorocyclohexane	2,3,3',4,5-Pentachlorobiphenyl	0.0154292637533335	0.000161715873129011	0.0517241379310345	3
beta-Hexachlorocyclohexane	3,3',4,5,5'-Pentachlorobiphenyl	0.0136851670098684	0.000143435796243943	0.0508474576271186	3
beta-Hexachlorocyclohexane	2,3',4,4',5',6-Hexachlorobiphenyl	0.0449402952379775	0.000715389707202057	0.0543478260869565	5
