name	target_name	reverse_score	score	presence_ratio	matched_peaks_count
beta-Hexachlorocyclohexane	Triclosan	0.105889488596718	0.00163437360409003	0.043010752688172	4
beta-Hexachlorocyclohexane	1,2,7,9-Tetrachlorodibenzofuran	0.0023667675944956	4.15066529830985e-06	0.0196078431372549	1
beta-Hexachlorocyclohexane	2,2',3,4,5,5',6-Heptachlorobiphenyl	0.0112114170270957	0.000144964240860142	0.036036036036036	4
beta-Hexachlorocyclohexane	2,4,6-Trichlorobiphenyl	0.0174722355485109	0.000183500042010688	0.0555555555555556	3
beta-Hexachlorocyclohexane	2,2',3,3',4,5',6,6'-Octachlorobiphenyl	0.040946425229514	0.000741430341595562	0.0264550264550265	5
beta-Hexachlorocyclohexane	Mirex	0.00414692851645509	5.51602170239774e-06	0.0116279069767442	1
beta-Hexachlorocyclohexane	beta-Hexachlorocyclohexane	0.175880761269498	0.0369969515557257	0.246376811594203	17
beta-Hexachlorocyclohexane	alpha-1,2,3,4,5,6-Hexachlorocyclohexane	0.0881391938257616	0.00520659154105497	0.145161290322581	9
beta-Hexachlorocyclohexane	Lindane	0.0780483440827239	0.00562696891840924	0.164179104477612	11
beta-Hexachlorocyclohexane	delta-Hexachlorocyclohexane	0.0685679781841729	0.00472489247360909	0.15625	10
beta-Hexachlorocyclohexane	epsilon-Hexachlorocyclohexane	0.114836734692982	0.0185000212524659	0.196969696969697	13
beta-Hexachlorocyclohexane	Pentachlorobenzene	0.0819833532476434	0.00130697510720911	0.0961538461538462	5
beta-Hexachlorocyclohexane	Hexachlorobenzene	0.0437334713145986	5.81719158975832e-05	0.02	1
beta-Hexachlorocyclohexane	2,4'-Dichlorodiphenyldichloroethylene	0.00491418080709338	3.43487345713348e-05	0.0188679245283019	1
beta-Hexachlorocyclohexane	2,4,4'-Trichlorobiphenyl	0.0101935946185272	7.12503445893102e-05	0.025	1
beta-Hexachlorocyclohexane	2,2',4,5,5'-Pentachlorobiphenyl	0.0130148461128755	0.00016023466220957	0.0493827160493827	4
beta-Hexachlorocyclohexane	2,3',4,4',5-Pentachlorobiphenyl	0.00281344696548658	1.49211285830523e-05	0.0172413793103448	1
beta-Hexachlorocyclohexane	2,2',3,4,4',5'-Hexachlorobiphenyl	0.0384103373648347	0.000611441465959491	0.0531914893617021	5
beta-Hexachlorocyclohexane	2,2',4,4',5,5'-Hexachlorobiphenyl	0.0448750649227231	0.000726243673513259	0.0508474576271186	6
beta-Hexachlorocyclohexane	2,2',3,4,4',5,5'-Heptachlorobiphenyl	0.0128389382040788	0.000183164041227798	0.040983606557377	5
beta-Hexachlorocyclohexane	2,2',5,5'-Tetrachlorobiphenyl	0.0051686659171226	3.6397391345051e-05	0.0285714285714286	2
beta-Hexachlorocyclohexane	2,3',4,6-Tetrachlorobiphenyl	0.00414530019566157	7.29131106336258e-06	0.0163934426229508	1
beta-Hexachlorocyclohexane	2,2',3,4',5-Pentachlorobiphenyl	0.0122585334163061	0.000128483086840148	0.0337078651685393	3
beta-Hexachlorocyclohexane	2,3,3',4,5-Pentachlorobiphenyl	0.0154292637533335	0.000161715873129011	0.0517241379310345	3
beta-Hexachlorocyclohexane	3,3',4,5,5'-Pentachlorobiphenyl	0.0136851670098684	0.000143435796243943	0.0508474576271186	3
beta-Hexachlorocyclohexane	2,3',4,4',5',6-Hexachlorobiphenyl	0.0449402952379775	0.000715389707202057	0.0543478260869565	5
beta-Hexachlorocyclohexane	2,3,3',4,5,6-Hexachlorobiphenyl	0.0344825394978288	0.000712379903321421	0.0673076923076923	7
beta-Hexachlorocyclohexane	2,3,3',4',5',6-Hexachlorobiphenyl	0.0439937846442546	0.000634828208072149	0.0515463917525773	5
beta-Hexachlorocyclohexane	2,3,3',4',5,6-Hexachlorobiphenyl	0.0489204730945967	0.000607746503553498	0.0625	4
beta-Hexachlorocyclohexane	2,3,3',4',5,5',6-Heptachlorobiphenyl	0.018821774165835	0.000333276817392258	0.0540540540540541	6
beta-Hexachlorocyclohexane	cis-Fenvalerate	0.00423714900402729	4.45450615138692e-05	0.0153846153846154	1
beta-Hexachlorocyclohexane	Transfluthrin	0.0380908106597043	0.00448943864559961	0.127272727272727	7
beta-Hexachlorocyclohexane	trans-Permethrin	0.0033119589577485	0.000131079760734972	0.0256410256410256	1
beta-Hexachlorocyclohexane	cis-Cypermethrin_isomer2	0.00484709657465399	0.000191836996584302	0.0105263157894737	1
beta-Hexachlorocyclohexane	trans-Cypermethrin_isomer2	0.00236397829366951	9.35608541862848e-05	0.00709219858156028	1
beta-Hexachlorocyclohexane	cis-Cyfluthrin_isomer1	0.00206430482516837	8.17004636890391e-05	0.0151515151515152	1
beta-Hexachlorocyclohexane	trans-Cyfluthrin_isomer1	0.0105301249504324	0.000698159126543952	0.038961038961039	3
beta-Hexachlorocyclohexane	cis-Cyfluthrin_isomer2	0.00741030777046814	0.000293283033370014	0.0112359550561798	1
beta-Hexachlorocyclohexane	trans-Cyfluthrin_Isomer2	0.00463835451147227	0.00018357546313952	0.00961538461538462	1
beta-Hexachlorocyclohexane	Hexabromobenzene	0.00142364871802166	2.85697760109424e-06	0.00917431192660551	1
beta-Hexachlorocyclohexane	cis-Heptachlor epoxide	0.00416499328941898	6.66703812569166e-06	0.00518134715025907	1
beta-Hexachlorocyclohexane	Endrin aldehyde	0.0069778604835647	8.94337711180096e-05	0.010752688172043	3
beta-Hexachlorocyclohexane	2,4-D butyl ester	0.110417320119438	0.0099225809896607	0.211267605633803	15
beta-Hexachlorocyclohexane	Chlorpyrifos	0.0137022706782657	0.00212626010527571	0.0373831775700935	4
beta-Hexachlorocyclohexane	2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl	0.000914935786326618	1.28527900688949e-06	0.00552486187845304	1
beta-Hexachlorocyclohexane	Metobromuron	0.00143607432907566	4.90947167157289e-06	0.0175438596491228	1
beta-Hexachlorocyclohexane	Bromuconazole_isomer1	0.00519165615545257	2.74275044852982e-05	0.0263157894736842	1
beta-Hexachlorocyclohexane	Difenoconazole_isomer1	0.00311514528782689	2.17739848904743e-05	0.0212765957446809	1
beta-Hexachlorocyclohexane	Fluquinconazole	0.0182269630402754	0.000115375589612763	0.0833333333333333	3
beta-Hexachlorocyclohexane	Hexaconazole	0.0226407784856909	0.00110899564712601	0.0512820512820513	4
beta-Hexachlorocyclohexane	Propiconazole_isomer1	0.0159118067863743	0.000249927510118678	0.036144578313253	3
beta-Hexachlorocyclohexane	Propiconazole_isomer2	0.0111944191387179	0.000292853876183465	0.0454545454545455	2
beta-Hexachlorocyclohexane	Triflumizole	0.00231026943124182	4.06361234850773e-06	0.0078125	1
epsilon-Hexachlorocyclohexane	Triclosan	0.113348430220496	0.00586342805242167	0.0537634408602151	5
epsilon-Hexachlorocyclohexane	1,2,7,9-Tetrachlorodibenzofuran	0.0023667675944956	3.72295547828632e-06	0.0196078431372549	1
epsilon-Hexachlorocyclohexane	2,4,6-Trichlorobiphenyl	0.0156141494201686	0.000186544653067525	0.0555555555555556	3
epsilon-Hexachlorocyclohexane	2,2',3,3',4,5',6,6'-Octachlorobiphenyl	0.00450465474705256	7.76838258749159e-06	0.00529100529100529	1
epsilon-Hexachlorocyclohexane	beta-Hexachlorocyclohexane	0.349351137421484	0.0899321623033557	0.376811594202899	26
epsilon-Hexachlorocyclohexane	alpha-1,2,3,4,5,6-Hexachlorocyclohexane	0.306957424614704	0.0417041500896787	0.274193548387097	17
epsilon-Hexachlorocyclohexane	Lindane	0.290235744565347	0.0392300262854629	0.283582089552239	19
epsilon-Hexachlorocyclohexane	delta-Hexachlorocyclohexane	0.282336993295241	0.037885922210337	0.28125	18
epsilon-Hexachlorocyclohexane	epsilon-Hexachlorocyclohexane	0.321387617106809	0.0681118957037871	0.318181818181818	21
epsilon-Hexachlorocyclohexane	Pentachlorobenzene	0.00854634325613986	3.29150360985919e-05	0.0384615384615385	2
epsilon-Hexachlorocyclohexane	2,4'-Dichlorodiphenyldichloroethylene	0.00491418080709338	2.54096170780146e-05	0.0188679245283019	1
epsilon-Hexachlorocyclohexane	2,4,4'-Trichlorobiphenyl	0.0101935946185272	5.27077342232527e-05	0.025	1
epsilon-Hexachlorocyclohexane	2,2',4,5,5'-Pentachlorobiphenyl	0.0190493525099796	0.00029296914647477	0.0617283950617284	5
epsilon-Hexachlorocyclohexane	2,3',4,4',5-Pentachlorobiphenyl	0.00281344696548658	1.47171464602261e-05	0.0172413793103448	1
epsilon-Hexachlorocyclohexane	2,2',3,4,4',5'-Hexachlorobiphenyl	0.0377213422235472	0.00058584769590151	0.0425531914893617	4
epsilon-Hexachlorocyclohexane	2,2',4,4',5,5'-Hexachlorobiphenyl	0.0455996671839284	0.000821550646299432	0.0508474576271186	6
epsilon-Hexachlorocyclohexane	2,2',5,5'-Tetrachlorobiphenyl	0.00543680165155145	9.20331397164945e-05	0.0285714285714286	2
epsilon-Hexachlorocyclohexane	2,3',4,6-Tetrachlorobiphenyl	0.00414530019566157	2.15699437624756e-05	0.0163934426229508	1
