,this,Wang2020,Wang2022_ES,Wang2022_TMS,Schreckenbach2021,Asgeirsson2017,Lee2022
natomsmean,33.01,21.95,22.82,33.67,31.03,19.76,18.28
aromaticnitrogensmean,0.45,0.06,0.00,0.13,0.03,0.00,1.39
molecularcomplexitymean,0.73,0.47,0.47,0.53,0.59,0.27,0.76
molecularflexibilitymean,0.36,0.33,0.30,0.63,0.51,0.40,0.04
rotatablebondsmean,3.26,2.65,1.70,4.41,4.22,1.43,0.00
stereocentersmean,0.75,0.66,0.38,0.33,0.59,0.29,0.00
electronegativeatomsmean,4.74,1.78,1.32,2.40,5.94,1.76,5.49
natomsmin,12.00,7.00,8.00,17.00,11.00,6.00,12.00
aromaticnitrogensmin,0.00,0.00,0.00,0.00,0.00,0.00,0.00
molecularcomplexitymin,0.38,0.12,0.27,0.26,0.35,0.00,0.67
molecularflexibilitymin,0.00,0.00,0.00,0.22,0.00,0.00,0.00
rotatablebondsmin,0.00,0.00,0.00,1.00,0.00,0.00,0.00
stereocentersmin,0.00,0.00,0.00,0.00,0.00,0.00,0.00
electronegativeatomsmin,0.00,0.00,0.00,1.00,2.00,0.00,4.00
natomsmax,80.00,59.00,56.00,58.00,74.00,49.00,24.00
aromaticnitrogensmax,3.00,3.00,0.00,4.00,1.00,0.00,4.00
molecularcomplexitymax,1.18,0.80,0.77,0.84,0.85,0.69,0.82
molecularflexibilitymax,0.85,0.86,0.69,0.91,0.90,0.89,0.23
rotatablebondsmax,21.00,10.00,8.00,14.00,16.00,5.00,0.00
stereocentersmax,9.00,6.00,3.00,4.00,8.00,6.00,0.00
electronegativeatomsmax,14.00,8.00,5.00,6.00,12.00,8.00,8.00
