compound_name	formula	inchi	isomeric_smiles
2,2',4,4',5,5'-Hexabromodiphenyl ether	C12H4Br6O	InChI=1S/C12H4Br6O/c13-5-1-9(17)11(3-7(5)15)19-12-4-8(16)6(14)2-10(12)18/h1-4H 	C1=C(C(=CC(=C1Br)Br)Br)OC2=CC(=C(C=C2Br)Br)Br
2,2',3,4,4',5',6-Heptabromodiphenylether	C12H3Br7O	InChI=1S/C12H3Br7O/c13-4-1-6(15)9(3-5(4)14)20-12-8(17)2-7(16)10(18)11(12)19/h1-3H	C1=C(C(=CC(=C1Br)Br)Br)OC2=C(C(=C(C=C2Br)Br)Br)Br
Decabromodiphenylether	C12Br10O	InChI=1S/C12Br10O/c13-1-3(15)7(19)11(8(20)4(1)16)23-12-9(21)5(17)2(14)6(18)10(12)22	C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br
2,2',4,4'-Tetrabromodiphenylether	C12H6Br4O	InChI=1S/C12H6Br4O/c13-7-1-3-11(9(15)5-7)17-12-4-2-8(14)6-10(12)16/h1-6H	C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br
3,3',4,4'-Tetrabromodiphenylether	C12H6Br4O	InChI=1S/C12H6Br4O/c13-9-3-1-7(5-11(9)15)17-8-2-4-10(14)12(16)6-8/h1-6H	C1=CC(=C(C=C1OC2=CC(=C(C=C2)Br)Br)Br)Br  
1,2-Bis(2,4,6-tribromophenoxy)ethane	C14H8Br6O2	InChI=1S/C14H8Br6O2/c15-7-3-9(17)13(10(18)4-7)21-1-2-22-14-11(19)5-8(16)6-12(14)20/h3-6H,1-2H2	C1=C(C=C(C(=C1Br)OCCOC2=C(C=C(C=C2Br)Br)Br)Br)Br
Hexabromobenzene	C6Br6	InChI=1S/C6Br6/c7-1-2(8)4(10)6(12)5(11)3(1)9	C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)Br
2-Ethylhexyl-2,3,4,5-tetrabromobenzoate	C15H18Br4O2	InChI=1S/C15H18Br4O2/c1-3-5-6-9(4-2)8-21-15(20)10-7-11(16)13(18)14(19)12(10)17/h7,9H,3-6,8H2,1-2H3	CCCCC(CC)COC(=O)C1=CC(=C(C(=C1Br)Br)Br)Br
Tetrabromobisphenol A	C15H12Br4O2	InChI=1S/C15H12Br4O2/c1-15(2,7-3-9(16)13(20)10(17)4-7)8-5-11(18)14(21)12(19)6-8/h3-6,20-21H,1-2H3	CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br
Bis(2-ethylhexyl)-2,3,4,5-tetrabromophthalate	C24H36Br4O4	InChI=1S/C24H36Br4O4/c1-5-9-11-16(7-3)14-31-22(29)18-13-19(25)20(26)21(27)24(18,28)23(30)32-15-17(8-4)12-10-6-2/h13,16-18H,5-12,14-15H2,1-4H3	CCCCC(CC)COC(=O)C1C=C(C(=C(C1(C(=O)OCC(CC)CCCC)Br)Br)Br)Br
3,3',5-Tribromodiphenylether	C12H7Br3O	InChI=1S/C12H7Br3O/c13-8-2-1-3-11(5-8)16-12-6-9(14)4-10(15)7-12/h1-7H	C1=CC(=CC(=C1)Br)OC2=CC(=CC(=C2)Br)Br
1,8-dibromo-3,6-dichlorocarbazole	C12H5Br2Cl2N	InChI=1S/C12H5Br2Cl2N/c13-9-3-5(15)1-7-8-2-6(16)4-10(14)12(8)17-11(7)9/h1-4,17H	C1=C(C=C(C2=C1C3=C(N2)C(=CC(=C3)Cl)Br)Br)Cl
Dichlorodiphenyldichloroethylene	C14H8Cl4	InChI=1S/C14H8Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8H	C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl
Dichlorodiphenyltrichloroethane	C14H9Cl5	InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H	C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
Dechlorane Plus	C18H12Cl12	InChI=1S/C18H12Cl12/c19-9-10(20)15(25)7-3-4-8-6(2-1-5(7)13(9,23)17(15,27)28)14(24)11(21)12(22)16(8,26)18(14,29)30/h5-8H,1-4H2	C1CC2C(CCC3C1C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl)C5(C(=C(C2(C5(Cl)Cl)Cl)Cl)Cl)Cl
4-OH-2?,3,3?,4?,5,5?-hexachlorobiphenyl	C12H4Cl6O	InChI=1S/C12H4Cl6O/c13-6-3-5(9(16)11(18)10(6)17)4-1-7(14)12(19)8(15)2-4/h1-3,19H	C1=C(C=C(C(=C1Cl)O)Cl)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl
3,3',4,4',5,5'-Hexachlorobiphenyl	C12H4Cl6	InChI=1S/C12H4Cl6/c13-7-1-5(2-8(14)11(7)17)6-3-9(15)12(18)10(16)4-6/h1-4H	C1=C(C=C(C(=C1Cl)Cl)Cl)C2=CC(=C(C(=C2)Cl)Cl)Cl
2,4,4',5,5'-Pentachlorobiphenyl	C12H5Cl5	InChI=1S/C12H5Cl5/c13-8-2-1-6(3-10(8)15)7-4-11(16)12(17)5-9(7)14/h1-5H  	C1=CC(=C(C=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl  
2,3,7,8-Tetrachlorodibenzodioxin	C12H4Cl4O2	InChI=1S/C12H4Cl4O2/c13-5-1-9-10(2-6(5)14)18-12-4-8(16)7(15)3-11(12)17-9/h1-4H	C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl
2,4,4',5-Tetrachlorobiphenyl	C12H6Cl4	InChI=1S/C12H6Cl4/c13-8-3-1-7(2-4-8)9-5-11(15)12(16)6-10(9)14/h1-6H	C1=CC(=CC=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl
