Index,NAME,INCHIKEY,superclass,subclass,FORMULA,ExactMass,Dot,Cos,Dot_MI,Diff,Match,entropy,jaccard,TP,FP,FN,TN,TPR,missed in QCEIMS predicted spectra
2," Aziridine, TMS derivative",OHCNQFYTLLGNOE-UHFFFAOYSA-N,amines,aliphatic, C5H13NSi,115.081726,"944,019","819,695","729,943","214,076","715,518","0,776","0,467",18,17,4,660,"0,857142857","0,181818182"
3," Formamide, TMS derivative",PQCLLXHKPSJTOY-UHFFFAOYSA-N,amides,aliphatic, C4H11NOSi,117.0609903,"592,693","448,474","566,908","25,785","507,761","0,572","0,561",17,13,6,663,"0,894736842","0,260869565"
4," Dimethylamine, TMS derivative",KAHVZNKZQFSBFW-UHFFFAOYSA-N,amines,aliphatic, C5H15NSi,117.097376,"849,348","528,362","762,552","86,796","663,962","0,693","0,623",18,11,4,666,"1,2","0,181818182"
5," Formic acid, TMS derivative",KBPSATXXRVXAAJ-UHFFFAOYSA-N,acid,aliphatic, C4H10O2Si,118.0450063,"547,735","544,535","512,793","34,942","482,644","0,504","0,362",13,11,10,665,"0,619047619","0,434782609"
6," Ethanol, TMS derivative",RSIHJDGMBDPTIM-UHFFFAOYSA-N,alcohol,aliphatic, C5H14OSi,118.081392,"711,667","576,089","449,505","262,162","584,671","0,582","0,484",13,13,8,665,"0,619047619","0,380952381"
7," Methoxyamine, TMS derivative",WDJKGNYLZQHPPY-UHFFFAOYSA-N,amines,aliphatic, C4H13NOSi,119.0766406,"928,836","771,232","792,869","135,967","725,978","0,809","0,6",30,8,3,658,"2,727272727","0,090909091"
9," Azetidine, TMS derivative",ZJXXRSTXPXHFCO-UHFFFAOYSA-N,amines,aliphatic, C6H15NSi,129.097376,"903,549","700,644","877,599","25,95","665,7","0,717","0,455",22,17,5,655,1,"0,185185185"
10," Allyl alcohol, TMS derivative",MNMVKGDEKPPREK-UHFFFAOYSA-N,alcohol,aliphatic, C6H14OSi,130.081391,"836,149","411,49","598,746","237,403","652,116","0,585","0,566",21,11,12,655,"0,913043478","0,363636364"
11," Acetamide, TMS derivative",LWFWUJCJKPUZLV-UHFFFAOYSA-N,amides,aliphatic, C5H13NOSi,131.07664,"639,475","513,773","483,149","156,327","548,014","0,607","0,467",23,18,7,651,"0,92","0,233333333"
12," Acetic acid, TMS derivative",QHUNJMXHQHHWQP-UHFFFAOYSA-N,acid,aliphatic, C5H12O2Si,132.060657,"450,322","343,375","452,342","2,021","420,363","0,503","0,366",12,15,12,660,"0,444444444","0,5"
13," Isopropyl alcohol, TMS derivative",NNLPAMPVXAPWKG-UHFFFAOYSA-N,alcohol,aliphatic, C6H16OSi,132.097042,"541,742","333,821","448,828","92,914","437,393","0,483","0,371",13,14,13,659,"0,481481481","0,5"
14," 1-Propanol, TMS derivative",PHPGKIATZDCVHL-UHFFFAOYSA-N,alcohol,aliphatic, C6H16OSi,132.097042,"622,226","586,525","558,413","63,813","550,224","0,644","0,5",21,12,9,657,1,"0,3"
15," Ethylene glycol, TMS derivative",LCUMNKGLHJRIMH-UHFFFAOYSA-N,alcohol,aliphatic, C5H14O2Si,134.076306,"616,233","336,563","465,678","150,554","522,168","0,584","0,478",16,16,9,658,"0,64","0,36"
16," Imidazole, TMS derivative",YKFRUJSEPGHZFJ-UHFFFAOYSA-N,amines,aromatic, C6H12N2Si,140.076975,"851,021","860,896","739,591","111,43","701,29","0,743","0,471",25,12,18,644,"0,833333333","0,418604651"
17," 2-Aminopropenenitrile, TMS derivative",UWJHKNQUQVOBQC-UHFFFAOYSA-N,amines,aliphatic, C6H12N2Si,140.076975,"811,428","597,717","687,538","123,89","635,34","0,675","0,554",26,18,18,637,"0,722222222","0,409090909"
18," Pyrazole, TMS derivative",AQXARFPMROXNLL-UHFFFAOYSA-N,amines,aromatic, C6H12N2Si,140.076975,"851,537","680,441","664,746","186,791","688,023","0,658","0,353",19,21,9,650,"0,633333333","0,321428571"
19," 1H-1,2,4-Triazole, TMS derivative",WPSPBNRWECRRPK-UHFFFAOYSA-N,amines,aromatic, C5H11N3Si,141.072224,"815,734","707,522","598,215","217,519","666,413","0,591","0,432",23,17,21,638,"0,605263158","0,477272727"
20," 3-Butyn-2-ol, TMS derivative",RMKACVRKUKSWNQ-UHFFFAOYSA-N,alcohol,aliphatic, C7H14OSi,142.081391,"494,316","272,772","525,888","31,572","439,395","0,44","0,439",10,17,7,665,"0,416666667","0,411764706"
22," Acrylic acid, TMS derivative",OTYBJBJYBGWBHB-UHFFFAOYSA-N,acid,aliphatic, C6H12O2Si,144.060657,"493,026","313,151","345,764","147,262","447,779","0,503","0,408",13,9,21,656,"0,433333333","0,617647059"
