query	reference	CosineGreedy_score	CosineGreedy_matches
Acenaphthene	Acenaphthene	0.6686826253068303	13
para-Terphenyl	para-Terphenyl	0.8891480656798413	17
Retene	Retene	0.6475717890239177	34
2,3-Benzofluorene	2,3-Benzofluorene	0.7048651991825848	10
Dicofol	Dicofol	0.8501198765946428	17
Benzophenone	Benzophenone	0.9068416030069708	11
2-tert-Butyl-4-methoxyphenol	2-tert-Butyl-4-methoxyphenol	0.5599856458878816	28
Butylated hydroxytoluene	Butylated hydroxytoluene	0.6001181630425422	27
Bumetrizole	Bumetrizole	0.3123405006946177	40
4-Methylbenzophenone	4-Methylbenzophenone	0.6568811489638634	14
1-Methylphenanthrene	1-Methylphenanthrene	0.843607311634017	12
Triclosan	Triclosan	0.2962761052343153	16
Enzacamene	Enzacamene	0.4379334691018894	69
2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol	2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol	0.3429536668091588	30
Octrizole	Octrizole	0.4914186992437122	13
1,2,7,9-Tetrachlorodibenzofuran	1,2,7,9-Tetrachlorodibenzofuran	0.8533235921909922	33
2,2',3,4,5,5',6-Heptachlorobiphenyl	2,2',3,4,5,5',6-Heptachlorobiphenyl	0.7558227415660982	68
2,4,6-Trichlorobiphenyl	2,4,6-Trichlorobiphenyl	0.8715101456724527	39
2,2',3,3',4,5',6,6'-Octachlorobiphenyl	2,2',3,3',4,5',6,6'-Octachlorobiphenyl	0.7970760632613563	78
Mirex	Mirex	0.4425979456633549	74
beta-Hexachlorocyclohexane	beta-Hexachlorocyclohexane	0.2047149794149129	49
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	alpha-1,2,3,4,5,6-Hexachlorocyclohexane	0.2925170457059624	49
Lindane	Lindane	0.1425176843394728	41
delta-Hexachlorocyclohexane	delta-Hexachlorocyclohexane	0.2297187109341147	51
epsilon-Hexachlorocyclohexane	epsilon-Hexachlorocyclohexane	0.1924079830340594	47
2,4'-Dichlorodiphenyldichloroethylene	2,4'-Dichlorodiphenyldichloroethylene	0.5086087930079526	41
2,4'-Dichlorodiphenyldichloroethane	2,4'-Dichlorodiphenyldichloroethane	0.4218677188516392	32
2,4'-Dichlorodiphenyltrichloroethane	2,4'-Dichlorodiphenyltrichloroethane	0.631355590920689	48
2,4,4'-Trichlorobiphenyl	2,4,4'-Trichlorobiphenyl	0.8752060875151414	33
2,2',4,5,5'-Pentachlorobiphenyl	2,2',4,5,5'-Pentachlorobiphenyl	0.8090765294215987	54
2,3',4,4',5-Pentachlorobiphenyl	2,3',4,4',5-Pentachlorobiphenyl	0.9081107932620012	41
2,2',3,4,4',5'-Hexachlorobiphenyl	2,2',3,4,4',5'-Hexachlorobiphenyl	0.825402681829375	69
2,2',4,4',5,5'-Hexachlorobiphenyl	2,2',4,4',5,5'-Hexachlorobiphenyl	0.7775595865907817	80
2,2',3,4,4',5,5'-Heptachlorobiphenyl	2,2',3,4,4',5,5'-Heptachlorobiphenyl	0.7764483317558767	86
2,2',5,5'-Tetrachlorobiphenyl	2,2',5,5'-Tetrachlorobiphenyl	0.8130373852174498	52
2,3',4,6-Tetrachlorobiphenyl	2,3',4,6-Tetrachlorobiphenyl	0.8741092399660083	48
2,3',5',6-Tetrachlorobiphenyl	2,3',5',6-Tetrachlorobiphenyl	0.8444779097503833	41
2,2',3,4',5-Pentachlorobiphenyl	2,2',3,4',5-Pentachlorobiphenyl	0.8012069786673442	63
2,3,3',4,5-Pentachlorobiphenyl	2,3,3',4,5-Pentachlorobiphenyl	0.8774874099456991	45
3,3',4,5,5'-Pentachlorobiphenyl	3,3',4,5,5'-Pentachlorobiphenyl	0.8839705453302414	45
2,3',4,4',5',6-Hexachlorobiphenyl	2,3',4,4',5',6-Hexachlorobiphenyl	0.8665522570163389	67
2,3,3',4,5,6-Hexachlorobiphenyl	2,3,3',4,5,6-Hexachlorobiphenyl	0.858433029074869	79
2,3,3',4',5',6-Hexachlorobiphenyl	2,3,3',4',5',6-Hexachlorobiphenyl	0.8733802469789652	72
2,3,3',4',5,6-Hexachlorobiphenyl	2,3,3',4',5,6-Hexachlorobiphenyl	0.8509759570637616	51
2,3,3',4',5,5',6-Heptachlorobiphenyl	2,3,3',4',5,5',6-Heptachlorobiphenyl	0.8244041358956171	75
cis-Prallethrin	cis-Prallethrin	0.6382868577574479	30
cis-Tetramethrin	cis-Tetramethrin	0.3934716028280448	18
trans-Tetramethrin	trans-Tetramethrin	0.5120813506001377	20
Bifenthrin	Bifenthrin	0.7269740612268849	21
Fenpropathrin	Fenpropathrin	0.2565341828917838	30
cis-Phenothrin	cis-Phenothrin	0.6973468691623136	26
trans-Phenothrin	trans-Phenothrin	0.3087889686204831	27
cis-Cyphenothrin	cis-Cyphenothrin	0.6251622896098575	34
trans-Cyphenothrin	trans-Cyphenothrin	0.1791019900508745	23
cis-Fenvalerate	cis-Fenvalerate	0.3722171573700361	46
trans-Fenvalerate	trans-Fenvalerate	0.3692369177831109	41
Deltamethrin	Deltamethrin	0.2878284342416832	35
Chlorpyrifos oxon	Chlorpyrifos oxon	0.0154505918490121	5
lambda-Cyhalothrin	lambda-Cyhalothrin	0.2277184400214245	32
Tefluthrin	Tefluthrin	0.7668893766959727	22
Transfluthrin	Transfluthrin	0.6949528351013372	28
cis-Permethrin	cis-Permethrin	0.8453100619939691	17
trans-Permethrin	trans-Permethrin	0.7223593346198698	23
cis-Allethrin	cis-Allethrin	0.6074032114982107	30
cis-Cyfluthrin_isomer1	cis-Cyfluthrin_isomer1	0.2390493357413326	38
trans-Cyfluthrin_isomer1	trans-Cyfluthrin_isomer1	0.3497094797814483	46
cis-Cyfluthrin_isomer2	cis-Cyfluthrin_isomer2	0.3040645446818629	31
trans-Cyfluthrin_Isomer2	trans-Cyfluthrin_Isomer2	0.2121821363973767	25
Octachlorodibenzofuran	Octachlorodibenzofuran	0.879504883530639	42
2,3,4,5-Tetrabromo-6-chlorotoluene	2,3,4,5-Tetrabromo-6-chlorotoluene	0.8829805218175755	61
2,3,4,5,6-Pentabromotoluene	2,3,4,5,6-Pentabromotoluene	0.9190056844933276	58
2,3,4,5,6-Pentabromoethylbenzene	2,3,4,5,6-Pentabromoethylbenzene	0.6365602313847921	95
2,3,5,6-Tetrabromo-p-xylene	2,3,5,6-Tetrabromo-p-xylene	0.8285768450463147	53
Allyl 2,4,6-tribromophenyl ether	Allyl 2,4,6-tribromophenyl ether	0.3864730022672642	19
2-Bromoallyl(2,4,6-tribromophenyl) ether	2-Bromoallyl(2,4,6-tribromophenyl) ether	0.3265096911454281	49
2,3,4,5,6-Pentabromobenzyl alcohol	2,3,4,5,6-Pentabromobenzyl alcohol	0.0312898594439902	20
2-Ethylhexyl 2,3,4,5-Tetrabromobenzoate	2-Ethylhexyl 2,3,4,5-Tetrabromobenzoate	0.2082664346732356	30
syn-Dechlorane plus	syn-Dechlorane plus	0.3440671542349365	140
anti-Dechlorane plus	anti-Dechlorane plus	0.0842539440667222	101
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	0.2143202074209434	25
1,2,5,6-Tetrabromocyclooctane	1,2,5,6-Tetrabromocyclooctane	0.2972191355631199	28
